"Date Time, GMT-04:00","Temp, °F (LGR S/N: 20205284, SEN S/N: 20168088, LBL: Air Temperature)","RH, % (LGR S/N: 20205284, SEN S/N: 20168088)","PAR, µmol/m²/s (LGR S/N: 20205284, SEN S/N: 20189138)","Temp, °F (LGR S/N: 20205284, SEN S/N: 20245643, LBL: Soil Temperature)"
4/25/2020 10:47,56.295,28,1626.2,70.115
4/25/2020 10:47,56.295,28.1,1626.2,69.858
4/25/2020 10:47,56.251,28.2,1623.7,69.771
4/25/2020 10:47,56.251,28.2,1623.7,69.728
4/25/2020 10:47,56.251,28.2,1621.2,69.643
4/25/2020 10:47,56.208,28.3,1623.7,69.557
4/25/2020 10:47,56.208,28.3,1623.7,69.471
4/25/2020 10:47,56.208,28.3,1623.7,69.386
4/25/2020 10:47,56.165,28.4,1623.7,69.3
4/25/2020 10:47,56.165,28.4,1623.7,69.213
4/25/2020 10:47,56.165,28.4,1623.7,69.085
4/25/2020 10:47,56.165,28.5,1623.7,68.999
4/25/2020 10:47,56.122,28.5,1623.7,68.956
4/25/2020 10:47,56.122,28.5,1618.7,68.871
4/25/2020 10:47,56.122,28.6,1621.2,68.871
4/25/2020 10:47,56.122,28.6,1618.7,68.828
4/25/2020 10:47,56.079,28.6,1616.2,68.785
4/25/2020 10:47,56.079,28.7,1616.2,68.785
4/25/2020 10:47,56.079,28.7,1618.7,68.828
4/25/2020 10:47,56.079,28.8,1616.2,68.828
4/25/2020 10:47,56.035,28.9,1618.7,68.871
4/25/2020 10:47,56.035,28.9,1616.2,68.871
4/25/2020 10:47,56.035,29,1618.7,68.913
4/25/2020 10:47,56.035,29.1,1618.7,68.956
4/25/2020 10:47,56.035,29.2,1618.7,68.999
4/25/2020 10:47,56.035,29.3,1618.7,69.042
4/25/2020 10:47,56.035,29.4,1618.7,69.129
4/25/2020 10:47,55.992,29.4,1613.7,69.17
4/25/2020 10:47,55.992,29.4,1621.2,69.256
4/25/2020 10:47,55.992,29.5,1616.2,69.343
4/25/2020 10:47,55.992,29.6,1616.2,69.427
4/25/2020 10:47,55.992,29.6,1616.2,69.471
4/25/2020 10:47,55.992,29.7,1618.7,69.557
4/25/2020 10:47,55.992,29.8,1616.2,69.6
4/25/2020 10:47,55.992,29.9,1618.7,69.643
4/25/2020 10:47,55.992,30,1621.2,69.685
4/25/2020 10:47,55.992,30,1621.2,69.728
4/25/2020 10:47,55.992,30.1,1623.7,69.771
4/25/2020 10:48,55.992,30.1,1621.2,69.814
4/25/2020 10:48,55.992,30.2,1623.7,69.901
4/25/2020 10:48,55.992,30.2,1621.2,69.942
4/25/2020 10:48,55.992,30.3,1626.2,70.029
4/25/2020 10:48,55.992,30.3,1623.7,70.115
