Sites,Time,NH4+ Ammonium,NO3- Nitrate,Ammonification,Nitrification,N Mineralization,Maximum (NH4+) Ammonia Leaching,Maximum (NO3-) Nitrate Leaching
,units,mgN/kg soil,mgN/kg soil,mgN/kg soil,mgN/kg soil,mgN/kg soil,mgN/kg soil,mgN/kg soil
EF02,6/1/2018,93.5,110.89,-92.95,34.36,-58.6,-6.59,104.18
EF03,6/1/2018,7.74,1.73,-5.77,30,24.23,-140.46,8.01
EF01,6/1/2018,0.72,12.64,-0.06,3.39,3.33,-1.94,1.89
EF02,8/1/2018,31.86,41.18,-31.23,-19.41,-50.64,-1.9,20.27
EF03,8/1/2018,6.5,2.3,-0.94,36.44,35.5,3.04,20.06
EF01,8/1/2018,1.11,2.85,-0.04,6.74,6.7,-0.31,6.98
EF02,11/1/2018,0.74,2.65,0.16,-0.09,0.07,0.11,1.67
EF03,11/1/2018,2.13,1.63,-1.07,7.81,6.74,-0.23,6
EF01,11/1/2018,0.93,2.26,0.13,-0.52,-0.39,0.31,0.73
