,management,date,year,month,Rs_umolm2sec_mean,Rs_daily_se,NEE_umolm2sec_mean,NEE_daily_se,n_collars,airtempC_mean,soilm_perc_mean,spad_mean,NDVI_mean,current_crop,current_plant_date,current_harvest_date,in_season,crop_type,tillage_event,last_tillage,days_since_tillage,fertilizer_event,last_fertilizer,days_since_fertilizer,herbicide_event,last_herbicide,days_since_herbicide,last_harvest,last_harvest_same_crop,days_since_last_harvest_same_crop,days_since_planting,days_to_harvest,days_since_season_end_harvest,days_since_last_harvest,crop_stage,crop_stage_simple
1,conventional,4/16/19,2019,4,0.839776441,0.046023757,0.920395319,0.048637199,5,10.555,18.125,NA,NA,NA,5/10/18,10/4/18,0,fallow,NA,5/1/18,350,NA,4/4/19,12,NA,5/12/18,339,10/4/18,NA,NA,341,-194,194,194,fallow,fallow
2,conventional,4/22/19,2019,4,1.049215011,0.110820671,1.106659462,0.070209371,5,17.5,17.57,NA,NA,NA,5/10/18,10/4/18,0,fallow,NA,5/1/18,356,NA,4/4/19,18,NA,5/12/18,345,10/4/18,NA,NA,347,-200,200,200,fallow,fallow
3,conventional,5/1/19,2019,5,0.879099797,0.095636746,0.750842646,0.11243934,5,12.5,18.43,NA,NA,NA,5/10/18,10/4/18,0,fallow,NA,5/1/18,365,NA,4/4/19,27,NA,5/12/18,354,10/4/18,NA,NA,356,-209,209,209,fallow,fallow
4,conventional,5/21/19,2019,5,-0.301984448,0.355811734,0.602475457,0.125518501,5,19.985,15.03,NA,NA,NA,5/10/18,10/4/18,0,fallow,NA,5/1/18,385,NA,4/4/19,47,NA,5/12/18,374,10/4/18,NA,NA,376,-229,229,229,fallow,fallow
5,conventional,5/29/19,2019,5,1.400151207,0.171355089,1.264067387,0.09115216,5,20.28,21.3125,NA,NA,NA,5/10/18,10/4/18,0,fallow,NA,5/1/18,393,NA,4/4/19,55,NA,5/12/18,382,10/4/18,NA,NA,384,-237,237,237,fallow,fallow
6,conventional,6/2/19,2019,6,1.77119411,0.145761051,1.779539983,0.267916691,5,21.945,11.7875,NA,NA,soybean,6/1/19,NA,1,annual,NA,5/1/18,397,NA,4/4/19,59,NA,5/12/18,386,10/4/18,NA,NA,1,NA,NA,241,emergence,early
7,conventional,6/11/19,2019,6,2.987409095,0.1400044,2.048059949,0.781050486,5,21.945,15.68,NA,NA,soybean,6/1/19,NA,1,annual,NA,5/1/18,406,NA,4/4/19,68,NA,5/12/18,395,10/4/18,NA,NA,10,NA,NA,250,vegetative,vegetative
8,conventional,6/23/19,2019,6,2.852288999,0.436107704,-1.370270117,2.798169504,5,24.725,11.75,NA,NA,soybean,6/1/19,NA,1,annual,NA,5/1/18,418,NA,4/4/19,80,NA,5/12/18,407,10/4/18,NA,NA,22,NA,NA,262,vegetative,vegetative
9,conventional,7/8/19,2019,7,8.208876252,2.816704077,-2.397770125,4.132970914,5,26.11,8.7,NA,NA,soybean,6/1/19,NA,1,annual,NA,5/1/18,433,NA,4/4/19,95,NA,5/12/18,422,10/4/18,NA,NA,37,NA,NA,277,vegetative,vegetative
10,conventional,7/25/19,2019,7,14.5255591,3.22583885,-13.39185517,3.954827936,5,26.11,12.36,NA,NA,soybean,6/1/19,NA,1,annual,NA,5/1/18,450,NA,4/4/19,112,NA,5/12/18,439,10/4/18,NA,NA,54,NA,NA,294,flowering,reproductive
11,conventional,7/29/19,2019,7,13.15653655,2.607789545,-8.958665426,0.959715723,5,30.41625,2.9,37.9125,0.7975,soybean,6/1/19,NA,1,annual,NA,5/1/18,454,NA,4/4/19,116,NA,5/12/18,443,10/4/18,NA,NA,58,NA,NA,298,pod_development,grain_fill
12,conventional,8/6/19,2019,8,29.7585277,4.712427084,-6.856805301,0.565639338,5,27.003,4.14,41.23,0.804,soybean,6/1/19,NA,1,annual,NA,5/1/18,462,NA,4/4/19,124,NA,5/12/18,451,10/4/18,NA,NA,66,NA,NA,306,pod_development,grain_fill
13,conventional,8/11/19,2019,8,28.03208407,7.076580523,5.844400046,2.618785666,5,26.94166667,2.466666667,38.15,0.7,soybean,6/1/19,NA,1,annual,NA,5/1/18,467,NA,4/4/19,129,NA,5/12/18,456,10/4/18,NA,NA,71,NA,NA,311,seed_fill,grain_fill
14,conventional,8/15/19,2019,8,20.40316472,4.083848048,-0.893804644,0.989013831,5,26.25125,3.5125,42.8375,0.7325,soybean,6/1/19,NA,1,annual,NA,5/1/18,471,NA,4/4/19,133,NA,5/12/18,460,10/4/18,NA,NA,75,NA,NA,315,seed_fill,grain_fill
15,conventional,8/18/19,2019,8,30.08804708,5.5582961,-6.932246538,1.085186225,5,29.58375,16.35,41.6875,0.8325,soybean,6/1/19,NA,1,annual,NA,5/1/18,474,NA,4/4/19,136,NA,5/12/18,463,10/4/18,NA,NA,78,NA,NA,318,seed_fill,grain_fill
16,conventional,8/29/19,2019,8,24.18142576,3.769712663,-6.065860588,1.138850675,5,24.225,4.89,40.52,0.777,soybean,6/1/19,NA,1,annual,NA,5/1/18,485,NA,4/4/19,147,NA,5/12/18,474,10/4/18,NA,NA,89,NA,NA,329,seed_fill,grain_fill
17,conventional,9/4/19,2019,9,20.1275509,1.52810561,-19.94382222,4.345521758,5,19.0275,4.925,43.1375,0.75625,soybean,6/1/19,NA,1,annual,NA,5/1/18,491,NA,4/4/19,153,NA,5/12/18,480,10/4/18,NA,NA,95,NA,NA,335,seed_fill,grain_fill
18,conventional,9/15/19,2019,9,16.0849281,1.262387006,-4.867307458,2.107130315,5,17.71125,9.1625,17.3875,0.6525,soybean,6/1/19,NA,1,annual,NA,5/1/18,502,NA,4/4/19,164,NA,5/12/18,491,10/4/18,NA,NA,106,NA,NA,346,maturity,mature
19,conventional,9/26/19,2019,9,8.351039078,0.603013931,8.013731143,0.720236069,5,17.889,9.25,9.25,0.247,soybean,6/1/19,NA,1,annual,NA,5/1/18,513,NA,4/4/19,175,NA,5/12/18,502,10/4/18,NA,NA,117,NA,NA,357,maturity,mature
20,conventional,10/1/19,2019,10,3.994400198,0.104773452,4.688751073,0.726519175,4,24.25666667,10.73333333,5.766666667,0.216666667,NA,6/1/19,10/1/19,0,fallow,NA,5/1/18,518,NA,4/4/19,180,NA,5/12/18,507,10/1/19,NA,NA,122,0,0,0,fallow,fallow
21,conventional,10/8/19,2019,10,2.054114604,0.113912404,2.595058596,0.235828313,4,14.165,18.78333333,NA,0.191666667,NA,6/1/19,10/1/19,0,fallow,NA,5/1/18,525,NA,4/4/19,187,NA,5/12/18,514,10/1/19,NA,NA,129,-7,7,7,fallow,fallow
22,conventional,10/15/19,2019,10,1.371773151,0.122225974,1.502696708,0.099032505,5,16.11,13.875,NA,0.17125,cover crop,10/15/19,NA,1,annual,NA,5/1/18,532,NA,4/4/19,194,NA,5/12/18,521,10/1/19,NA,NA,0,NA,NA,14,germination/emergence,early
23,conventional,10/23/19,2019,10,1.566806416,0.119457172,1.707920332,0.179897566,5,20.168,18.42,NA,0.168,cover crop,10/15/19,NA,1,annual,NA,5/1/18,540,NA,4/4/19,202,NA,5/12/18,529,10/1/19,NA,NA,8,NA,NA,22,germination/emergence,early
24,conventional,10/29/19,2019,10,1.671844002,0.198072791,1.877965305,0.204923473,5,14.93375,20.775,NA,0.16625,cover crop,10/15/19,NA,1,annual,NA,5/1/18,546,NA,4/4/19,208,NA,5/12/18,535,10/1/19,NA,NA,14,NA,NA,28,fall tillering,vegetative
25,conventional,5/6/20,2020,5,2.264547619,0.576798673,0.14364496,0.41089644,5,17.50025,10.125,NA,0.195,barley,4/1/20,NA,1,annual,NA,4/1/20,35,NA,4/4/19,398,NA,5/12/18,725,10/1/19,NA,NA,35,NA,NA,218,tillering,vegetative
26,conventional,5/12/20,2020,5,3.179148259,0.740432224,0.519155112,0.029824045,5,12.0835,12.7,20.325,0.2425,barley,4/1/20,NA,1,annual,NA,4/1/20,41,NA,4/4/19,404,NA,5/12/18,731,10/1/19,NA,NA,41,NA,NA,224,stem_elongation,reproductive
27,conventional,5/20/20,2020,5,5.343614384,0.984726013,0.148751166,2.54050981,5,20.2085,6.5625,34.875,0.37875,barley,4/1/20,NA,1,annual,NA,4/1/20,49,NA,4/4/19,412,NA,5/12/18,739,10/1/19,NA,NA,49,NA,NA,232,stem_elongation,reproductive
28,conventional,6/8/20,2020,6,6.534731291,0.996331131,-1.582702254,1.081370259,5,24.861125,0.14875,37.175,0.34375,barley,4/1/20,NA,1,annual,NA,4/1/20,68,NA,4/4/19,431,NA,5/12/18,758,10/1/19,NA,NA,68,NA,NA,251,heading,reproductive
29,conventional,6/16/20,2020,6,8.06866816,1.186242632,-2.095963524,1.476894892,5,25.74083333,0.45,31.28333333,0.336666667,barley,4/1/20,NA,1,annual,NA,4/1/20,76,NA,4/4/19,439,NA,5/12/18,766,10/1/19,NA,NA,76,NA,NA,259,grain_fill,grain_fill
30,conventional,6/23/20,2020,6,9.358403695,1.105356348,5.60709927,0.68322994,5,26.0185,1.833333333,26.4,NA,barley,4/1/20,NA,1,annual,NA,4/1/20,83,NA,4/4/19,446,NA,5/12/18,773,10/1/19,NA,NA,83,NA,NA,266,grain_fill,grain_fill
31,conventional,7/1/20,2020,7,8.936256628,1.325646939,4.357887401,0.969160968,5,27.778,9.675,27.0875,0.255,NA,10/15/19,NA,1,annual,NA,4/1/20,91,NA,4/4/19,454,NA,5/12/18,781,7/1/20,NA,NA,260,NA,NA,0,fallow,fallow
32,conventional,7/30/20,2020,7,2.205168842,0.436517737,-0.334897416,0.360053896,5,26.389,5.425,28.775,0.215,cover crop,7/20/20,NA,1,annual,NA,7/15/20,15,NA,4/4/19,483,NA,5/12/18,810,7/1/20,NA,NA,10,NA,NA,29,germination/emergence,early
33,conventional,8/4/20,2020,8,2.16213282,0.251410818,-0.432320287,0.583725373,5,27.291875,15.7,44.2875,0.28625,cover crop,7/20/20,NA,1,annual,NA,7/15/20,20,NA,4/4/19,488,NA,5/12/18,815,7/1/20,NA,NA,15,NA,NA,34,seedling,early
