County,State,None,D0_percarea,D1_percarea,D2_percarea,D3_percarea,D4_percarea,start,end
Columbia County,NY,100,0,0,0,0,0,12/27/22,1/2/23
Columbia County,NY,100,0,0,0,0,0,12/20/22,12/26/22
Columbia County,NY,99.71,0.29,0,0,0,0,12/13/22,12/19/22
Columbia County,NY,99.71,0.29,0,0,0,0,12/6/22,12/12/22
Columbia County,NY,99.71,0.29,0,0,0,0,11/29/22,12/5/22
Columbia County,NY,99.71,0.29,0,0,0,0,11/22/22,11/28/22
Columbia County,NY,99.79,0.21,0,0,0,0,11/15/22,11/21/22
Columbia County,NY,97.24,2.76,0,0,0,0,11/8/22,11/14/22
Columbia County,NY,97.24,2.76,0,0,0,0,11/1/22,11/7/22
Columbia County,NY,97.24,2.76,0,0,0,0,10/25/22,10/31/22
Columbia County,NY,97.24,2.76,0,0,0,0,10/18/22,10/24/22
Columbia County,NY,37.9,62.1,0,0,0,0,10/11/22,10/17/22
Columbia County,NY,37.9,60.22,1.88,0,0,0,10/4/22,10/10/22
Columbia County,NY,0,69.64,30.36,0,0,0,9/27/22,10/3/22
Columbia County,NY,0,4.91,90.63,4.46,0,0,9/20/22,9/26/22
Columbia County,NY,0,4.02,91.52,4.46,0,0,9/13/22,9/19/22
Columbia County,NY,0,4.02,91.52,4.46,0,0,9/6/22,9/12/22
Columbia County,NY,0,0,95.68,4.32,0,0,8/30/22,9/5/22
Columbia County,NY,0,0,95.68,4.32,0,0,8/23/22,8/29/22
Columbia County,NY,0,0,95.68,4.32,0,0,8/16/22,8/22/22
Columbia County,NY,0,93.96,6.04,0,0,0,8/9/22,8/15/22
Columbia County,NY,16.71,76.17,7.12,0,0,0,8/2/22,8/8/22
Columbia County,NY,16.71,83.29,0,0,0,0,7/26/22,8/1/22
Columbia County,NY,72.58,27.42,0,0,0,0,7/19/22,7/25/22
Columbia County,NY,74.66,25.34,0,0,0,0,7/12/22,7/18/22
Columbia County,NY,78.99,21.01,0,0,0,0,7/5/22,7/11/22
Columbia County,NY,99.84,0.16,0,0,0,0,6/28/22,7/4/22
Columbia County,NY,100,0,0,0,0,0,6/21/22,6/27/22
Columbia County,NY,100,0,0,0,0,0,6/14/22,6/20/22
Columbia County,NY,100,0,0,0,0,0,6/7/22,6/13/22
Columbia County,NY,100,0,0,0,0,0,5/31/22,6/6/22
Columbia County,NY,100,0,0,0,0,0,5/24/22,5/30/22
Columbia County,NY,100,0,0,0,0,0,5/17/22,5/23/22
Columbia County,NY,100,0,0,0,0,0,5/10/22,5/16/22
Columbia County,NY,100,0,0,0,0,0,5/3/22,5/9/22
Columbia County,NY,100,0,0,0,0,0,4/26/22,5/2/22
Columbia County,NY,100,0,0,0,0,0,4/19/22,4/25/22
Columbia County,NY,100,0,0,0,0,0,4/12/22,4/18/22
Columbia County,NY,100,0,0,0,0,0,4/5/22,4/11/22
