management,date,Reco_se,NEE_se,Reco_gf_se,NEE_gf_se,month,NEE,NEE_gapfilled,Reco_gapfilled,GPP_gapfilled,VPD,ndvi,rh,precip,airt,year,Reco,GPP,soilt_avg,vwc_avg,doy,current_crop,current_plant_date,current_harvest_date,in_season,crop_type,tillage_event,last_tillage,days_since_tillage,fertilizer_event,last_fertilizer,days_since_fertilizer,herbicide_event,last_herbicide,days_since_herbicide,last_harvest,last_harvest_same_crop,days_since_last_harvest_same_crop,days_since_planting,days_to_harvest,days_since_season_end_harvest,days_since_last_harvest,crop_stage,crop_stage_simple
conventional,4/30/18,0.033459321,0.516934232,0.025098813,0.220642226,4,1.209987094,0.982823168,3.260485833,2.268580833,192.2092342,0.481510086,87.44534022,0.000191176,4.246415869,2018,3.222037813,2.012055625,4.848574018,0.339347413,120,NA,NA,NA,0,NA,1,4/30/18,0,NA,3/20/18,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/1/18,0.052011361,0.425591406,0.049050286,0.358139591,5,1.672338455,2.009532578,3.883008333,1.908764583,898.4887875,0.484213284,65.20149147,6.19E-06,11.42842414,2018,3.881459318,2.209122727,7.827770249,0.328149692,121,NA,NA,NA,0,NA,1,5/1/18,0,NA,3/20/18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/2/18,0.049589698,0.565896041,0.046199954,0.361420988,5,4.147737974,3.269988511,4.4845,0.621953438,2056.892083,0.486013381,55.19756738,3.55E-08,17.95792987,2018,4.550449211,0.402717237,12.32701184,0.312092066,122,NA,NA,NA,0,NA,NA,5/1/18,1,NA,3/20/18,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/3/18,0.025161079,0.585365332,0.022504171,0.310948428,5,3.897031951,2.827975655,4.723583333,1.009603958,1360.520663,0.486842426,73.81555933,0.000189285,19.75439367,2018,4.725132683,0.828103659,15.20027989,0.303721605,123,NA,NA,NA,0,NA,NA,5/1/18,2,NA,3/20/18,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/4/18,0.01466549,0.339461767,0.01346581,0.264466525,5,4.539484186,4.048581958,4.592440833,0.031693542,768.1791646,0.486632469,80.84813931,0.000154859,19.73184897,2018,4.592592791,0.053109442,16.17769036,0.317475837,124,NA,NA,NA,0,NA,NA,5/1/18,3,NA,3/20/18,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/5/18,0.023346876,0.293119572,0.023346876,0.242460099,5,2.580386604,2.19081947,4.205934583,1.625553583,1324.456292,0.48531556,57.29526951,1.43E-07,14.1976162,2018,4.205934583,1.625553583,14.13388874,0.304564105,125,NA,NA,NA,0,NA,NA,5/1/18,4,NA,3/20/18,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/6/18,0.01192784,0.403596551,0.010873429,0.154775755,5,3.387862861,3.116288191,3.997512708,0.775436688,272.7629911,0.482823748,92.12728474,0.000471258,12.34555572,2018,4.006780556,0.618918,12.35185116,0.31782677,126,NA,NA,NA,0,NA,NA,5/1/18,5,NA,3/20/18,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/7/18,0.022749924,0.474331383,0.020290585,0.195236321,5,1.549896285,1.548972596,3.885180833,2.164457167,684.7661,0.479089084,71.32482445,2.27E-06,12.9741339,2018,3.929656286,2.3797724,11.84112391,0.322585717,127,NA,NA,NA,0,NA,NA,5/1/18,6,NA,3/20/18,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/8/18,0.028193737,0.437548284,0.023877749,0.278893781,5,1.971373657,1.716874516,3.778830833,1.92939375,1062.304879,0.474043617,69.45015152,9.73E-07,13.93819119,2018,3.810934,1.839562857,12.00815147,0.30708138,128,NA,NA,NA,0,NA,NA,5/1/18,7,NA,3/20/18,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/9/18,0.028076053,0.284854789,0.027321584,0.251674951,5,2.510579913,2.020087087,3.699901667,1.269061354,1274.125017,0.467633825,68.04526856,2.11E-08,15.70466496,2018,3.702159348,1.191577065,13.57488197,0.294594139,129,NA,NA,NA,0,NA,NA,5/1/18,8,NA,3/20/18,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/10/18,0.017841759,0.363938638,0.016791848,0.266972734,5,2.161003279,2.159761388,3.517705625,1.384243063,655.0945354,0.459969819,75.5042996,3.70E-05,14.66094265,2018,3.513494186,1.352495279,13.64276419,0.28467311,130,corn,5/10/18,NA,1,annual,NA,5/1/18,9,NA,3/20/18,51,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,emergence,early
conventional,5/11/18,0.013029577,0.524541107,0.012807279,0.398587943,5,1.09220061,1.587046124,3.280262292,1.816142292,901.6439447,0.451329111,58.38313092,2.45E-07,11.70649792,2018,3.281998293,2.189795854,12.56813806,0.277357075,131,corn,5/10/18,NA,1,annual,NA,5/1/18,10,NA,3/20/18,52,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,emergence,early
conventional,5/12/18,0.010183664,0.242589273,0.007177062,0.071755778,5,1.997862667,1.773602232,3.009772917,1.149513771,312.26033,0.442004893,83.85577126,0.000283316,7.390517966,2018,3.015476061,1.017616394,9.299786107,0.287768828,132,corn,5/10/18,NA,1,annual,NA,5/1/18,11,NA,3/20/18,53,1,5/12/18,0,NA,NA,NA,2,NA,NA,NA,emergence,early
conventional,5/13/18,0.021137191,0.066947311,0.0208025,0.079409191,5,1.994292174,1.723489068,3.021112708,1.043443125,219.4650354,0.432290355,79.14586749,3.58E-07,10.24349476,2018,3.01476913,1.020477609,9.444560941,0.292275636,133,corn,5/10/18,NA,1,annual,NA,5/1/18,12,NA,3/20/18,54,NA,5/12/18,1,NA,NA,NA,3,NA,NA,NA,emergence,early
conventional,5/14/18,0.019328573,0.189638631,0.018529221,0.172431211,5,1.879822352,1.895313064,3.068438333,1.108852521,668.5604417,0.422478691,79.95582257,1.59E-06,14.30390813,2018,3.069421522,1.189600022,12.07483373,0.281332528,134,corn,5/10/18,NA,1,annual,NA,5/1/18,13,NA,3/20/18,55,NA,5/12/18,2,NA,NA,NA,4,NA,NA,NA,emergence,early
conventional,5/15/18,0.025629731,0.260336643,0.018073639,0.159304081,5,2.32642068,2.755875919,3.1056725,0.398597792,670.1631933,0.412863091,89.14001556,0.000870776,17.22587579,2018,3.1193652,0.79294016,14.54284646,0.29992999,135,corn,5/10/18,NA,1,annual,NA,5/1/18,14,NA,3/20/18,56,NA,5/12/18,3,NA,NA,NA,5,NA,NA,NA,emergence,early
conventional,5/16/18,NA,NA,0.012657774,0.213235007,5,NA,2.153212841,3.014927292,0.861715125,NA,0.403736748,82.75179795,9.51E-06,14.10384728,2018,NA,NA,13.38702895,0.323549292,136,corn,5/10/18,NA,1,annual,NA,5/1/18,15,NA,3/20/18,57,NA,5/12/18,4,NA,NA,NA,6,NA,NA,NA,emergence,early
conventional,5/17/18,NA,NA,0.016180263,0.198119659,5,NA,2.081749615,3.099443542,1.017694167,NA,0.395392853,83.37067856,1.86E-06,16.51846244,2018,NA,NA,14.32914028,0.309300482,137,corn,5/10/18,NA,1,annual,NA,5/1/18,16,NA,3/20/18,58,NA,5/12/18,5,NA,NA,NA,7,NA,NA,NA,emergence,early
conventional,5/18/18,NA,NA,0.013259346,0.226696506,5,NA,1.057285499,3.003485208,1.946203104,NA,0.388124598,59.12163584,1.81E-08,13.33516544,2018,NA,NA,13.69656453,0.295533078,138,corn,5/10/18,NA,1,annual,NA,5/1/18,17,NA,3/20/18,59,NA,5/12/18,6,NA,NA,NA,8,NA,NA,NA,emergence,early
conventional,5/19/18,NA,NA,0.009097816,0.110062303,5,NA,1.982513255,2.882402917,0.899885896,NA,0.382225175,83.33004035,0.00054016,9.30360899,2018,NA,NA,10.75166934,0.310011838,139,corn,5/10/18,NA,1,annual,NA,5/1/18,18,NA,3/20/18,60,NA,5/12/18,7,NA,NA,NA,9,NA,NA,NA,emergence,early
conventional,5/20/18,NA,NA,0.013961272,0.194447397,5,NA,2.653385116,3.188123958,0.534744229,NA,0.377987775,89.15714723,0.000229248,16.79533714,2018,NA,NA,13.91655558,0.333925419,140,corn,5/10/18,NA,1,annual,NA,5/1/18,19,NA,3/20/18,61,NA,5/12/18,8,NA,NA,NA,10,NA,NA,NA,emergence,early
