term,term_raw,Estimate,SE,t,p,sig
Intercept,(Intercept),2.974,1.099,2.706,0.007,**
Organic,managementorganic,-7.445,9.801,-0.76,0.448,
Dormant,crop_stage_simpledormant,0.197,0.89,0.221,0.825,
Early growth,crop_stage_simpleearly,-0.684,0.716,-0.956,0.339,
Fallow,crop_stage_simplefallow,-1.501,0.674,-2.227,0.026,*
Grain fill,crop_stage_simplegrain_fill,3.422,0.796,4.299,0,***
Reproductive,crop_stage_simplereproductive,4.141,1.009,4.105,0,***
Vegetative,crop_stage_simplevegetative,0.158,0.693,0.227,0.82,
Organic × Dormant,managementorganic:crop_stage_simpledormant,-1.179,1.045,-1.128,0.26,
Organic × Early growth,managementorganic:crop_stage_simpleearly,0.637,1.309,0.487,0.626,
Organic × Fallow,managementorganic:crop_stage_simplefallow,-1.042,1.802,-0.578,0.563,
Organic × Grain fill,managementorganic:crop_stage_simplegrain_fill,-4.426,1.119,-3.957,0,***
Organic × Reproductive,managementorganic:crop_stage_simplereproductive,-3.387,1.426,-2.375,0.018,*
Organic × Vegetative,managementorganic:crop_stage_simplevegetative,-0.421,0.998,-0.422,0.673,
