term,term_raw,Estimate,SE,t,p,sig
Intercept,(Intercept),0.336,0.528,0.636,0.525,
Organic,managementorganic,-1.204,0.762,-1.58,0.114,
Dormant,crop_stage_simpledormant,0.683,0.633,1.078,0.281,
Early growth,crop_stage_simpleearly,0.732,0.519,1.41,0.159,
Fallow,crop_stage_simplefallow,0.798,0.475,1.682,0.093,.
Grain fill,crop_stage_simplegrain_fill,-3.03,0.586,-5.168,0,***
Reproductive,crop_stage_simplereproductive,-3.809,0.734,-5.189,0,***
Vegetative,crop_stage_simplevegetative,-0.118,0.491,-0.24,0.81,
Organic × Dormant,managementorganic:crop_stage_simpledormant,0.529,0.708,0.747,0.455,
Organic × Early growth,managementorganic:crop_stage_simpleearly,0,0.935,0,1,
Organic × Fallow,managementorganic:crop_stage_simplefallow,1.836,1.703,1.078,0.281,
Organic × Grain fill,managementorganic:crop_stage_simplegrain_fill,3.009,0.825,3.647,0,***
Organic × Reproductive,managementorganic:crop_stage_simplereproductive,3.93,1.063,3.696,0,***
Organic × Vegetative,managementorganic:crop_stage_simplevegetative,0.999,0.652,1.532,0.126,
