term,term_raw,Estimate,SE,t,p,sig
Intercept,(Intercept),2.503,1.33,1.882,0.06,.
Organic,managementorganic,3.192,7.205,0.443,0.658,
Dormant,crop_stage_simpledormant,0.046,0.196,0.234,0.815,
Early growth,crop_stage_simpleearly,0.025,0.157,0.161,0.872,
Fallow,crop_stage_simplefallow,-0.017,0.161,-0.102,0.919,
Grain fill,crop_stage_simplegrain_fill,0.003,0.163,0.018,0.986,
Reproductive,crop_stage_simplereproductive,0.092,0.208,0.443,0.658,
Vegetative,crop_stage_simplevegetative,-0.079,0.164,-0.48,0.631,
Organic × Dormant,managementorganic:crop_stage_simpledormant,0.013,0.279,0.045,0.964,
Organic × Early growth,managementorganic:crop_stage_simpleearly,-0.184,0.297,-0.621,0.535,
Organic × Fallow,managementorganic:crop_stage_simplefallow,-0.08,0.262,-0.305,0.76,
Organic × Grain fill,managementorganic:crop_stage_simplegrain_fill,-0.009,0.263,-0.034,0.973,
Organic × Reproductive,managementorganic:crop_stage_simplereproductive,-0.003,0.346,-0.009,0.993,
Organic × Vegetative,managementorganic:crop_stage_simplevegetative,-0.234,0.303,-0.771,0.441,
