management,date,ndvi,soilt_avg,soil_temp_smooth,ndvi_smooth,stage
conventional,7/20/20,0.749877581,24.60797876,NA,NA,germination/emergence
conventional,7/21/20,0.760171555,23.62198164,NA,NA,germination/emergence
conventional,7/22/20,0.770384811,23.10125901,NA,NA,germination/emergence
conventional,7/23/20,0.780429421,22.65916611,NA,NA,germination/emergence
conventional,7/24/20,0.790217457,22.25036972,23.24815105,0.770216165,germination/emergence
conventional,7/25/20,0.79966099,22.73828063,22.87421142,0.780172847,germination/emergence
conventional,7/26/20,0.808672093,23.30601908,22.81101891,0.789872954,germination/emergence
conventional,7/27/20,0.817164752,24.86635742,23.16403859,0.799228943,germination/emergence
conventional,7/28/20,0.825074656,24.30004368,23.49221411,0.80815799,germination/emergence
conventional,7/29/20,0.832359701,23.27049948,23.69624006,0.816586438,germination/emergence
conventional,7/30/20,0.838979859,23.05024562,23.75863306,0.824450212,seedling
conventional,7/31/20,0.844895104,22.88932436,23.67529411,0.831694814,seedling
conventional,8/1/20,0.85006541,23.25573963,23.35317055,0.838274946,seedling
conventional,8/2/20,0.854450751,22.668518,23.02686542,0.844150165,seedling
conventional,8/3/20,0.858011101,23.3680134,23.0463682,0.849280445,seedling
conventional,8/4/20,0.860706434,21.30886008,22.69809109,0.85362576,seedling
conventional,8/5/20,0.862496723,21.09723363,22.33967295,0.857146084,seedling
conventional,8/6/20,0.863341942,20.29290479,21.74710598,0.85980139,seedling
conventional,8/7/20,0.863202065,20.04241436,21.22188525,0.861551653,seedling
conventional,8/8/20,0.862037066,20.7931754,20.70691765,0.862356846,seedling
conventional,8/9/20,0.859806918,21.84104571,20.81335478,0.862176943,seedling
conventional,8/10/20,0.856471596,23.0893899,21.21178603,0.860971917,seedling
conventional,8/11/20,0.851991072,23.86081324,21.92536772,0.858701743,seedling
conventional,8/12/20,0.846330878,23.71470509,22.65982587,0.855327506,seedling
conventional,8/13/20,0.839519564,22.9333714,23.08786507,0.850824006,seedling
conventional,8/14/20,0.831650147,22.6719432,23.25404457,0.845192651,seedling
conventional,8/15/20,0.822821687,21.98398401,23.03296339,0.83846267,seedling
conventional,8/16/20,0.813133241,20.27997432,22.3167956,0.830691103,seedling
conventional,8/17/20,0.802683868,20.04937762,21.58373011,0.821961701,seedling
conventional,8/18/20,0.791572625,20.10377242,21.01781031,0.812372314,seedling
conventional,8/19/20,0.779898571,19.35712196,20.35484607,0.802021998,vegetative
conventional,8/20/20,0.767760764,18.96161113,19.75037149,0.791009814,vegetative
conventional,8/21/20,0.755258261,20.08357685,19.711092,0.779434818,vegetative
conventional,8/22/20,0.742490122,21.64659629,20.03053573,0.767396069,vegetative
conventional,8/23/20,0.729555404,22.25347997,20.46047724,0.754992624,vegetative
conventional,8/24/20,0.716553165,23.18419196,21.22589124,0.742323543,vegetative
conventional,8/25/20,0.703582463,22.79253596,21.99207621,0.729487883,vegetative
conventional,8/26/20,0.690742357,20.05754496,21.98686983,0.716584702,vegetative
conventional,8/27/20,0.678131904,18.06798054,21.27114668,0.703713059,vegetative
conventional,8/28/20,0.665846863,19.57912089,20.73627486,0.69097135,vegetative
conventional,8/29/20,0.653945561,19.66405751,20.03224797,0.67844983,vegetative
conventional,8/30/20,0.642448035,18.55995935,19.18573265,0.666222944,vegetative
conventional,8/31/20,0.631370736,17.5621888,18.68666142,0.65434862,vegetative
conventional,9/1/20,0.620730113,18.14832355,18.70273002,0.642868262,vegetative
conventional,9/2/20,0.610542616,18.3196331,18.45083246,0.631807412,vegetative
conventional,9/3/20,0.600824696,19.99031847,18.51608465,0.621183239,vegetative
conventional,9/4/20,0.591592802,19.59879829,18.72385244,0.611012193,vegetative
