Site ,Ring #,Light/Dark,Date,Start time,End time ,Air temp C°,Soil moisture %,Spad (0-100),G.S. (NDVI 0.00-.99),CO2( mmol/m2/s) ppm,CH4 (mmol/m2/s) ppm
EF01,1,light ,4/7/2021,11:39:00,11:44:00,15,18.9,51.7,,,
EF01,1,dark,4/7/2021,11:51:00,11:56:00,15,,,,,
EF01,2,light ,4/7/2021,12:01:00,12:06:00,16.111,15.4,28.4,,,
EF01,2,dark,4/7/2021,12:13:00,12:18:00,16.111,,,,,
EF01,3,light ,4/7/2021,12:25:00,12:30:00,16.111,13.8,22.6,,,
EF01,3,dark,4/7/2021,12:38:00,12:43:00,16.111,,,,,
EF01,4,light ,4/7/2021,12:52:00,12:57:00,17.222,19.6,41.9,,,
EF01,4,dark,4/7/2021,13:03:00,13:08:00,17.222,,,,,
EF01,5,light ,4/7/2021,13:14:00,13:19:00,17.222,18.5,28.9,,,
EF01,5,dark,4/7/2021,13:26:00,13:31:00,17.222,,,,,
EF01,1,light ,4/7/2021,13:55:00,14:00:00,17.778,17.5,31.7,,,
EF01,1,dark,4/7/2021,14:07:00,14:12:00,17.778,,,,,
EF01,2,light ,4/7/2021,14:18:00,14:23:00,17.778,17.1,40,,,
EF01,2,dark,4/7/2021,14:29:00,14:34:00,17.778,,,,,
EF01,3,light ,4/7/2021,14:39:00,14:44:00,17.778,17.8,43.1,,,
EF01,3,dark,4/7/2021,14:49:00,14:54:00,17.778,,,,,
EF01,4,light ,4/7/2021,15:00:00,15:05:00,18.889,19.9,11,,,
EF01,4,dark,4/7/2021,15:13:00,15:18:00,18.889,,,,,
EF01,5,light ,4/7/2021,15:25:00,15:30:00,18.889,19.4,38.9,,,
EF01,5,dark,4/7/2021,15:36:00,15:41:00,18.889,,,,,
EF01,1,light ,4/8/2021,9:45:00,9:50:00,13.889,17.6,32.7,0.49,,
EF01,1,dark,4/8/2021,9:57:00,10:02:00,13.889,,,,,
EF01,2,light ,4/8/2021,10:13:00,10:18:00,16.111,15.3,35.3,0.42,,
EF01,2,dark,4/8/2021,10:26:00,10:31:00,16.111,,,,,
EF01,3,light ,4/8/2021,10:40:00,10:45:00,16.111,16.9,39.3,0.46,,
EF01,3,dark,4/8/2021,11:06:00,11:11:00,16.111,,,,,
EF01,4,light ,4/8/2021,11:22:00,11:27:00,17.222,20.06,47.9,0.36,,
EF01,4,dark,4/8/2021,11:36:00,11:41:00,17.222,,,,,
EF01,5,light ,4/8/2021,11:50:00,11:55:00,18.889,19.7,19.3,0.33,,
EF01,5,dark,4/8/2021,12:04:00,12:09:00,18.889,,,,,
EF01,1,light ,4/8/2021,13:03:00,13:08:00,20,15,28.8,0.4,,
EF01,1,dark,4/8/2021,13:14:00,13:19:00,20,,,,,
EF01,2,light ,4/8/2021,13:24:00,13:29:00,21.111,15.2,24.8,0.48,,
EF01,2,dark,4/8/2021,13:34:00,13:39:00,21.111,,,,,
EF01,3,light ,4/8/2021,13:44:00,13:49:00,21.111,18.8,57.1,0.43,,
EF01,3,dark,4/8/2021,13:55:00,14:00:00,21.111,,,,,
EF01,4,light ,4/8/2021,14:05:00,14:10:00,22.222,20.1,47.5,0.37,,
EF01,4,dark,4/8/2021,14:18:00,14:23:00,22.222,,,,,
EF01,5,light ,4/8/2021,14:32:00,14:37:00,22.222,17.5,46.8,0.33,,
EF01,5,dark,4/8/2021,14:44:00,14:49:00,22.222,,,,,
EF01,1,light ,4/9/2021,10:03:00,10:08:00,16.111,15.6,37.7,0.46,,
EF01,1,dark,4/9/2021,10:15:00,10:20:00,16.111,,,,,
EF01,2,light ,4/9/2021,10:25:00,10:30:00,17.222,15.3,46.2,0.43,,
EF01,2,dark,4/9/2021,10:36:00,10:41:00,17.222,,,,,
EF01,3,light ,4/9/2021,10:48:00,10:53:00,17.778,14.8,50.3,0.5,,
EF01,3,dark,4/9/2021,11:00:00,11:05:00,17.778,,,,,
EF01,4,light ,4/9/2021,11:12:00,11:17:00,17.778,16.9,49.1,0.43,,
EF01,4,dark,4/9/2021,11:24:00,11:29:00,17.778,,,,,
EF01,5,light ,4/9/2021,11:35:00,11:40:00,17.778,19.7,43.9,0.29,,
EF01,5,dark,4/9/2021,11:48:00,11:53:00,17.778,,,,,
EF01,1,light ,4/9/2021,12:55:00,13:00:00,18.889,16.7,35.6,0.39,,
EF01,1,dark,4/9/2021,13:14:00,13:19:00,18.889,,,,,
EF01,2,light ,4/9/2021,13:25:00,13:30:00,21.111,13.4,64.2,0.5,,
EF01,2,dark,4/9/2021,13:37:00,13:42:00,21.111,,,,,
EF01,3,light ,4/9/2021,13:51:00,13:56:00,21.111,10.9,36,0.49,,
EF01,3,dark,4/9/2021,14:02:00,14:07:00,21.111,,,,,
EF01,4,light ,4/9/2021,14:12:00,14:17:00,21.111,18.6,39.2,0.41,,
EF01,4,dark,4/9/2021,14:25:00,14:30:00,21.111,,,,,
EF01,5,light ,4/9/2021,14:36:00,14:41:00,21.111,17.7,30.5,0.37,,
EF01,5,dark,4/9/2021,14:50:00,14:55:00,21.111,,,,,
EF01,1,light ,4/13/2021,9:49:00,9:54:00,11.111,16.3,39.2,0.59,,
EF01,1,dark,4/13/2021,10:02:00,10:07:00,11.111,,,,,
EF01,2,light ,4/13/2021,10:13:00,10:18:00,11.111,16.3,40.4,0.63,,
EF01,2,dark,4/13/2021,10:27:00,10:32:00,11.111,,,,,
EF01,3,light ,4/13/2021,10:40:00,10:45:00,12.222,15.8,40.3,0.54,,
EF01,3,dark,4/13/2021,10:57:00,11:02:00,12.222,,,,,
EF01,4,light ,4/13/2021,11:08:00,11:13:00,12.778,17.3,43.2,0.54,,
EF01,4,dark,4/13/2021,11:22:00,11:27:00,12.778,,,,,
EF01,5,light ,4/13/2021,11:33:00,11:38:00,12.778,21.4,54,0.45,,
EF01,5,dark,4/13/2021,11:47:00,11:52:00,12.778,,,,,
EF01,1,light ,4/13/2021,12:50:00,12:55:00,15,16.9,61.7,0.52,,
EF01,1,dark,4/13/2021,13:03:00,13:08:00,15,,,,,
EF01,2,light ,4/13/2021,13:14:00,13:19:00,15,15.3,50.8,0.6,,
EF01,2,dark,4/13/2021,13:26:00,13:31:00,15,,,,,
EF01,3,light ,4/13/2021,13:38:00,13:43:00,16.111,15.3,48.5,0.57,,
EF01,3,dark,4/13/2021,13:54:00,13:59:00,16.111,,,,,
EF01,4,light ,4/13/2021,14:07:00,14:12:00,17.222,18.2,35,0.54,,
EF01,4,dark,4/13/2021,14:21:00,14:26:00,17.222,,,,,
EF01,5,light ,4/13/2021,14:31:00,14:36:00,17.222,19.1,45.6,0.4,,
EF01,5,dark,4/13/2021,14:44:00,14:49:00,17.222,,,,,
EF01,1,light ,4/14/2021,10:35:00,10:40:00,17.222,17.3,21.8,0.59,,
EF01,1,dark,4/14/2021,10:47:00,10:52:00,17.222,,,,,
EF01,2,light ,4/14/2021,10:58:00,11:03:00,17.778,13.7,28.6,0.57,,
EF01,2,dark,4/14/2021,11:10:00,11:15:00,17.778,,,,,
EF01,3,light ,4/14/2021,11:22:00,11:27:00,18.889,16.5,37.7,0.61,,
EF01,3,dark,4/14/2021,11:37:00,11:42:00,18.889,,,,,
EF01,4,light ,4/14/2021,11:50:00,11:55:00,18.889,16.9,38.4,0.51,,
EF01,4,dark,4/14/2021,12:05:00,12:10:00,18.889,,,,,
EF01,5,light ,4/14/2021,12:16:00,12:21:00,18.889,16.9,42.2,0.49,,
EF01,5,dark,4/14/2021,12:29:00,12:34:00,18.889,,,,,
EF01,1,light ,4/14/2021,13:05:00,13:10:00,21.111,13.1,38.3,0.56,,
EF01,1,dark,4/14/2021,13:17:00,13:22:00,21.111,,,,,
EF01,2,light ,4/14/2021,13:27:00,13:32:00,21.111,13.5,64.5,0.6,,
EF01,2,dark,4/14/2021,13:40:00,13:45:00,21.111,,,,,
EF01,3,light ,4/14/2021,13:50:00,13:55:00,21.111,13.8,39.9,0.61,,
EF01,3,dark,4/14/2021,14:04:00,14:09:00,21.111,,,,,
EF01,4,light ,4/14/2021,14:16:00,14:21:00,22.222,15.2,48.3,0.51,,
EF01,4,dark,4/14/2021,14:33:00,14:38:00,22.222,,,,,
EF01,5,light ,4/14/2021,14:46:00,14:51:00,22.222,16.2,55.9,0.5,,
EF01,5,dark,4/14/2021,14:59:00,15:04:00,22.222,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
EF01,,,,,,,,,,,
