"","x"
"1","ts"
"2","filename"
"3","date"
"4","time"
"5","DOY"
"6","daytime"
"7","file_records"
"8","used_records"
"9","Tau"
"10","qc_Tau"
"11","H"
"12","qc_H"
"13","LE"
"14","qc_LE"
"15","co2_flux"
"16","qc_co2_flux"
"17","h2o_flux"
"18","qc_h2o_flux"
"19","H_strg"
"20","LE_strg"
"21","co2_strg"
"22","h2o_strg"
"23","co2_v-adv"
"24","h2o_v-adv"
"25","co2_molar_density"
"26","co2_mole_fraction"
"27","co2_mixing_ratio"
"28","co2_time_lag"
"29","co2_def_timelag"
"30","h2o_molar_density"
"31","h2o_mole_fraction"
"32","h2o_mixing_ratio"
"33","h2o_time_lag"
"34","h2o_def_timelag"
"35","sonic_temperature"
"36","air_temperature"
"37","air_pressure"
"38","air_density"
"39","air_heat_capacity"
"40","air_molar_volume"
"41","ET"
"42","water_vapor_density"
"43","e"
"44","es"
"45","specific_humidity"
"46","RH"
"47","VPD"
"48","Tdew"
"49","u_unrot"
"50","v_unrot"
"51","w_unrot"
"52","u_rot"
"53","v_rot"
"54","w_rot"
"55","wind_speed"
"56","max_wind_speed"
"57","wind_dir"
"58","yaw"
"59","pitch"
"60","roll"
"61","u*"
"62","TKE"
"63","L"
"64","(z-d)/L"
"65","bowen_ratio"
"66","T*"
"67","model"
"68","x_peak"
"69","x_offset"
"70","x_10%"
"71","x_30%"
"72","x_50%"
"73","x_70%"
"74","x_90%"
"75","un_Tau"
"76","Tau_scf"
"77","un_H"
"78","H_scf"
"79","un_LE"
"80","LE_scf"
"81","un_co2_flux"
"82","co2_scf"
"83","un_h2o_flux"
"84","h2o_scf"
"85","spikes_hf"
"86","amplitude_resolution_hf"
"87","drop_out_hf"
"88","absolute_limits_hf"
"89","skewness_kurtosis_hf"
"90","skewness_kurtosis_sf"
"91","discontinuities_hf"
"92","discontinuities_sf"
"93","timelag_hf"
"94","timelag_sf"
"95","attack_angle_hf"
"96","non_steady_wind_hf"
"97","u_spikes"
"98","v_spikes"
"99","w_spikes"
"100","ts_spikes"
"101","co2_spikes"
"102","h2o_spikes"
"103","chopper_LI-7500"
"104","detector_LI-7500"
"105","pll_LI-7500"
"106","sync_LI-7500"
"107","mean_value_RSSI_LI-7500"
"108","u_var"
"109","v_var"
"110","w_var"
"111","ts_var"
"112","co2_var"
"113","h2o_var"
"114","w/ts_cov"
"115","w/co2_cov"
"116","w/h2o_cov"
"117","vin_sf_mean"
"118","co2_mean"
"119","h2o_mean"
"120","dew_point_mean"
"121","co2_signal_strength_7500_mean"
"122","nightCO2"
"123","co2_flux.c"
"124","H.c"
"125","LE.c"
"126","hour"
"127","month"
"128","dew"
"129","soilt1"
"130","soilt2"
"131","le"
"132","pres"
"133","h"
"134","rg"
"135","airt"
"136","precip"
"137","u"
"138","v"
"139","vwc1"
"140","vwc2"
"141","rh"
"142","ws"
"143","vpd"
"144","rollppt"
"145","evi"
"146","ndvi"
"147","rfnee"
"148","H_f"
"149","LE_f"
"150","Reco"
"151","Reco_DT"
"152","GPP_f"
"153","GPP_DT"
"154","dup"
"155","management"
