Plot Title: 20169122,,,,,,,,,,
#,"Date Time, GMT-04:00","Pressure, in Hg (LGR S/N: 20169122, SEN S/N: 20024877)","Wind Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Gust Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20177195)","Wind Direction, ø (LGR S/N: 20169122, SEN S/N: 20177663)","Rain, in (LGR S/N: 20169122, SEN S/N: 20192321)","PAR, µmol/m²/s (LGR S/N: 20169122, SEN S/N: 20490839)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20168088)","RH, % (LGR S/N: 20169122, SEN S/N: 20168088)"
1,4/17/2019 13:22,30.0098,3.38,10.13,46.974,46.3,,1743.7,59.056,27.8
2,4/17/2019 13:32,30.0039,3.38,13.51,47.154,73,0,1776.2,59.315,31.1
3,4/17/2019 13:42,30.0069,4.5,12.39,47.289,44.9,0,1796.2,59.959,26.6
4,4/17/2019 13:52,30.0069,4.5,9.01,47.422,346.8,0,1786.2,60.604,30.1
5,4/17/2019 14:02,30.0069,4.5,11.25,47.512,59,0,1721.2,60.303,29.2
6,4/17/2019 14:12,30.0039,2.26,11.25,47.647,59,0,1763.7,61.333,24.3
7,4/17/2019 14:22,30.0039,4.5,9.01,47.736,18.3,0,1673.7,61.162,23.9
8,4/17/2019 14:32,30.0069,2.26,6.76,47.871,61.8,0,1686.2,62.748,24.4
9,4/17/2019 14:42,29.998,3.38,12.39,48.004,37.9,0,1646.2,61.248,25
10,4/17/2019 14:52,29.998,5.64,10.13,48.137,51.9,0,1541.2,60.818,22.8
11,4/17/2019 15:02,29.9892,3.38,7.87,48.227,78.6,0,1393.7,61.462,21.1
12,4/17/2019 15:12,29.9862,2.26,6.76,48.36,96.9,0,1448.7,62.962,23
13,4/17/2019 15:22,29.9803,5.64,9.01,48.493,53.3,0,1481.2,61.248,21.6
14,4/17/2019 15:32,29.9774,2.26,7.87,48.583,0,0,1323.7,61.848,21.3
15,4/17/2019 15:42,29.9774,3.38,9.01,48.717,5.6,0,1348.7,61.506,20.8
16,4/17/2019 15:52,29.9744,1.12,5.64,48.805,19.7,0,1406.2,63.133,23
17,4/17/2019 16:02,29.9685,3.38,7.87,48.895,9.8,0,1223.7,62.062,23.2
18,4/17/2019 16:12,29.9715,2.26,7.87,48.983,0,0,903.7,63.005,22.3
19,4/17/2019 16:22,29.9715,2.26,5.64,49.116,352.4,0,928.7,62.362,22.3
20,4/17/2019 16:32,29.9685,2.26,10.13,49.204,339.7,0,1033.7,62.276,22.4
21,4/17/2019 16:42,29.9656,2.26,6.76,49.338,82.8,0,1091.2,62.919,22.9
22,4/17/2019 16:52,29.9656,1.12,6.76,49.383,25.3,0,1031.2,64.375,22.7
23,4/17/2019 17:02,29.9626,4.5,9.01,49.471,106.7,0,918.7,62.834,22.6
24,4/17/2019 17:12,29.9656,1.12,4.5,49.561,150.2,0,816.2,64.117,21.2
25,4/17/2019 17:22,29.9656,2.26,7.87,49.649,9.8,0,733.7,62.791,23
26,4/17/2019 17:32,29.9656,3.38,7.87,49.692,7,0,621.2,62.533,22.5
27,4/17/2019 17:42,29.9685,0,4.5,49.561,321.5,0,528.7,63.518,23.2
