Plot Title: 20169122,,,,,,,,
#,"Date Time, GMT-04:00","Pressure, in Hg (LGR S/N: 20169122, SEN S/N: 20024877)","Wind Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Gust Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20177195)","Wind Direction, ø (LGR S/N: 20169122, SEN S/N: 20177663)","Rain, in (LGR S/N: 20169122, SEN S/N: 20192321)","PAR, µmol/m²/s (LGR S/N: 20169122, SEN S/N: 20490839)"
1,8/16/2019 15:46,29.8061,2.26,6.76,77.727,207.8,,1313.7
2,8/16/2019 15:46,29.8031,1.12,2.26,77.77,178.3,0,1311.2
3,8/16/2019 15:46,29.8031,2.26,3.38,77.77,214.8,0,1308.7
4,8/16/2019 15:46,29.8031,2.26,3.38,77.77,234.5,0,1306.2
5,8/16/2019 15:46,29.8031,2.26,2.26,77.815,245.7,0,1306.2
6,8/16/2019 15:46,29.8031,3.38,4.5,77.815,231.6,0,1306.2
7,8/16/2019 15:47,29.8031,4.5,5.64,77.815,178.3,0,1301.2
8,8/16/2019 15:47,29.8061,3.38,5.64,77.815,172.7,0,1301.2
9,8/16/2019 15:47,29.8031,4.5,5.64,77.815,176.9,0,1296.2
10,8/16/2019 15:47,29.8031,3.38,4.5,77.815,183.9,0,1293.7
11,8/16/2019 15:47,29.8061,2.26,3.38,77.945,224.6,0,1288.7
12,8/16/2019 15:47,29.8061,2.26,2.26,78.514,234.5,0,1291.2
13,8/16/2019 15:48,29.8031,1.12,2.26,79.041,217.6,0,1291.2
14,8/16/2019 15:48,29.8061,6.76,6.76,80.051,223.2,0,1288.7
15,8/16/2019 15:48,29.8031,4.5,5.64,81.775,228.8,0,1283.7
16,8/16/2019 15:48,29.8031,3.38,5.64,79.48,241.5,0,1281.2
17,8/16/2019 15:48,29.8031,5.64,6.76,78.339,238.7,0,1281.2
18,8/16/2019 15:48,29.8002,4.5,6.76,77.902,220.4,0,1281.2
19,8/16/2019 15:49,29.8061,4.5,5.64,77.596,199.4,0,1281.2
20,8/16/2019 15:49,29.809,3.38,4.5,77.464,176.9,0,1281.2
21,8/16/2019 15:49,29.8061,2.26,3.38,77.292,182.5,0,1278.7
22,8/16/2019 15:49,29.8031,3.38,5.64,77.203,200.8,0,1281.2
23,8/16/2019 15:49,29.8061,3.38,4.5,77.16,230.2,0,1283.7
24,8/16/2019 15:49,29.8031,2.26,3.38,77.117,205,0,1273.7
25,8/16/2019 15:50,29.8031,2.26,4.5,77.072,216.2,0,1281.2
26,8/16/2019 15:50,29.8031,4.5,5.64,77.029,216.2,0,1278.7
27,8/16/2019 15:50,29.8061,4.5,5.64,77.029,230.2,0,1271.2
28,8/16/2019 15:50,29.8031,2.26,3.38,76.986,221.8,0,1278.7
29,8/16/2019 15:50,29.8061,3.38,3.38,76.942,210.6,0,1276.2
30,8/16/2019 15:50,29.8031,3.38,4.5,76.942,220.4,0,1258.7
31,8/16/2019 15:51,29.8031,4.5,5.64,76.942,207.8,0,1273.7
32,8/16/2019 15:51,29.8061,2.26,2.26,76.942,178.3,0,1278.7
33,8/16/2019 15:51,29.8061,2.26,2.26,76.942,189.5,0,1278.7
34,8/16/2019 15:51,29.8031,2.26,3.38,76.942,207.8,0,1276.2
35,8/16/2019 15:51,29.8061,3.38,3.38,76.899,238.7,0,1273.7
36,8/16/2019 15:51,29.8031,2.26,4.5,76.942,212,0,1273.7
37,8/16/2019 15:52,29.8031,3.38,5.64,76.899,241.5,0,1271.2
38,8/16/2019 15:52,29.8061,4.5,6.76,76.899,219,0,1273.7
39,8/16/2019 15:52,29.809,3.38,4.5,76.899,199.4,0,1276.2
40,8/16/2019 15:52,29.8061,3.38,5.64,76.899,205,0,1276.2
41,8/16/2019 15:52,29.8061,3.38,4.5,76.899,234.5,0,1273.7
42,8/16/2019 15:52,29.8031,3.38,5.64,76.899,212,0,1271.2
43,8/16/2019 15:53,29.8061,3.38,3.38,76.899,181.1,0,1271.2
44,8/16/2019 15:53,29.8061,4.5,6.76,76.899,206.4,0,1263.7
45,8/16/2019 15:53,29.8061,3.38,4.5,76.899,199.4,0,1263.7
46,8/16/2019 15:53,29.8061,3.38,4.5,76.899,157.2,0,1261.2
47,8/16/2019 15:53,29.8061,5.64,7.87,76.899,186.7,0,1263.7
48,8/16/2019 15:53,29.8002,6.76,7.87,76.899,186.7,0,1266.2
49,8/16/2019 15:54,29.8002,7.87,10.13,76.942,171.3,0,1261.2
50,8/16/2019 15:54,29.8031,6.76,7.87,76.942,199.4,0,1263.7
51,8/16/2019 15:54,29.8002,6.76,7.87,76.942,183.9,0,1263.7
52,8/16/2019 15:54,29.8031,3.38,5.64,76.942,199.4,0,1261.2
53,8/16/2019 15:54,29.8031,4.5,5.64,76.942,186.7,0,1258.7
54,8/16/2019 15:54,29.8031,3.38,4.5,76.942,181.1,0,1258.7
55,8/16/2019 15:55,29.8031,2.26,3.38,76.942,212,0,1261.2
56,8/16/2019 15:55,29.8031,3.38,4.5,76.942,231.6,0,1258.7
57,8/16/2019 15:55,29.8061,2.26,3.38,76.942,189.5,0,1253.7
58,8/16/2019 15:55,29.8031,3.38,4.5,76.942,227.4,0,1251.2
59,8/16/2019 15:55,29.8002,4.5,5.64,76.942,224.6,0,1248.7
60,8/16/2019 15:55,29.8031,3.38,4.5,76.942,216.2,0,1243.7
61,8/16/2019 15:56,29.8031,2.26,4.5,76.942,214.8,0,1241.2
62,8/16/2019 15:56,29.8002,1.12,2.26,76.942,214.8,0,1241.2
63,8/16/2019 15:56,29.8031,1.12,2.26,76.942,216.2,0,1241.2
64,8/16/2019 15:56,29.8002,1.12,2.26,76.942,237.3,0,1238.7
65,8/16/2019 15:56,29.8031,1.12,2.26,76.942,247.1,0,1236.2
66,8/16/2019 15:56,29.8031,2.26,3.38,76.942,224.6,0,1236.2
67,8/16/2019 15:57,29.8031,3.38,5.64,76.942,237.3,0,1233.7
68,8/16/2019 15:57,29.8031,4.5,4.5,76.942,206.4,0,1233.7
69,8/16/2019 15:57,29.8031,3.38,3.38,76.986,196.5,0,1228.7
70,8/16/2019 15:57,29.8002,4.5,6.76,76.986,202.2,0,1226.2
71,8/16/2019 15:57,29.8031,4.5,5.64,76.986,202.2,0,1223.7
72,8/16/2019 15:57,29.8031,3.38,4.5,76.986,205,0,1231.2
73,8/16/2019 15:58,29.8031,4.5,5.64,76.986,195.1,0,1233.7
74,8/16/2019 15:58,29.8031,3.38,4.5,76.986,185.3,0,1231.2
75,8/16/2019 15:58,29.8031,1.12,2.26,76.986,176.9,0,1228.7
76,8/16/2019 15:58,29.8031,3.38,5.64,77.029,207.8,0,1226.2
77,8/16/2019 15:58,29.8002,4.5,5.64,77.029,199.4,0,1228.7
78,8/16/2019 15:58,29.8031,2.26,3.38,77.029,189.5,0,1228.7
79,8/16/2019 15:59,29.8002,3.38,6.76,77.029,223.2,0,1228.7
80,8/16/2019 15:59,29.8002,5.64,6.76,77.029,224.6,0,1228.7
81,8/16/2019 15:59,29.8002,3.38,4.5,77.029,223.2,0,1228.7
82,8/16/2019 15:59,29.8002,2.26,3.38,77.029,212,0,1228.7
83,8/16/2019 15:59,29.8031,4.5,4.5,77.029,230.2,0,1228.7
84,8/16/2019 15:59,29.8031,4.5,5.64,77.029,227.4,0,1231.2
85,8/16/2019 16:00,29.8002,4.5,5.64,77.029,185.3,0,1228.7
86,8/16/2019 16:00,29.8002,4.5,6.76,77.029,182.5,0,1228.7
87,8/16/2019 16:00,29.7972,4.5,5.64,77.029,176.9,0,1228.7
88,8/16/2019 16:00,29.8002,4.5,5.64,77.029,207.8,0,1228.7
89,8/16/2019 16:00,29.7972,2.26,3.38,77.072,202.2,0,1226.2
90,8/16/2019 16:00,29.8002,2.26,3.38,77.072,206.4,0,1226.2
91,8/16/2019 16:01,29.7972,3.38,4.5,77.072,198,0,1223.7
92,8/16/2019 16:01,29.8002,3.38,4.5,77.072,196.5,0,1223.7
93,8/16/2019 16:01,29.8002,3.38,4.5,77.072,209.2,0,1221.2
94,8/16/2019 16:01,29.8002,2.26,3.38,77.072,195.1,0,1218.7
95,8/16/2019 16:01,29.8002,1.12,1.12,77.072,195.1,0,1216.2
96,8/16/2019 16:01,29.8002,2.26,3.38,77.072,214.8,0,1216.2
97,8/16/2019 16:02,29.7972,4.5,5.64,77.072,217.6,0,1211.2
98,8/16/2019 16:02,29.8002,4.5,5.64,77.072,209.2,0,1208.7
99,8/16/2019 16:02,29.7943,4.5,5.64,77.072,207.8,0,1203.7
100,8/16/2019 16:02,29.8002,3.38,5.64,77.072,226,0,1203.7
101,8/16/2019 16:02,29.7972,4.5,6.76,77.117,207.8,0,1206.2
102,8/16/2019 16:02,29.7972,9.01,10.13,77.117,230.2,0,1203.7
103,8/16/2019 16:03,29.7943,7.87,10.13,77.117,221.8,0,1198.7
104,8/16/2019 16:03,29.7972,3.38,4.5,77.117,234.5,0,1196.2
105,8/16/2019 16:03,29.7943,5.64,6.76,77.117,227.4,0,1196.2
106,8/16/2019 16:03,29.7972,6.76,9.01,77.117,212,0,1193.7
107,8/16/2019 16:03,29.7943,4.5,5.64,77.117,213.4,0,1191.2
108,8/16/2019 16:03,29.7972,4.5,7.87,77.117,206.4,0,1191.2
109,8/16/2019 16:04,29.7943,5.64,6.76,77.117,205,0,1193.7
110,8/16/2019 16:04,29.7972,4.5,5.64,77.117,199.4,0,1196.2
111,8/16/2019 16:04,29.7972,3.38,4.5,77.117,196.5,0,1191.2
112,8/16/2019 16:04,29.7972,3.38,3.38,77.117,200.8,0,1191.2
113,8/16/2019 16:04,29.7972,2.26,3.38,77.117,203.6,0,1193.7
114,8/16/2019 16:04,29.8002,2.26,3.38,77.117,193.7,0,1191.2
115,8/16/2019 16:05,29.7972,4.5,5.64,77.16,174.1,0,1188.7
116,8/16/2019 16:05,29.7972,5.64,6.76,77.16,178.3,0,1188.7
117,8/16/2019 16:05,29.8002,4.5,5.64,77.16,188.1,0,1188.7
