management,date,Reco_se,NEE_se,month,Reco,NEE,GPP_f,VPD,ndvi,rh,precip,airt,year,soilt_avg,vwc_avg,doy,current_crop,current_plant_date,current_harvest_date,in_season,crop_type,tillage_event,last_tillage,days_since_tillage,fertilizer_event,last_fertilizer,days_since_fertilizer,herbicide_event,last_herbicide,days_since_herbicide,last_harvest,last_harvest_same_crop,days_since_last_harvest_same_crop,days_since_planting,days_to_harvest,days_since_season_end_harvest,days_since_last_harvest,crop_stage,crop_stage_simple
conventional,4/20/18,0.004999207,NA,4,1.731028,NA,0.550538,275.7046,0.423421624,74.39126454,1.88E-07,-0.434197998,2018,1.352298737,0.311260509,110,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/21/18,0.019965739,NA,4,1.873022292,NA,1.47997375,615.3402313,0.427776218,57.2064087,6.40E-08,4.312885698,2018,2.511867221,0.309088922,111,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/22/18,0.019051119,NA,4,1.929521667,NA,2.047301458,806.8805833,0.43552842,51.03156858,0,6.242887115,2018,3.599582926,0.302896755,112,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/23/18,0.023709673,NA,4,1.974450208,NA,1.948075083,977.0044646,0.443008676,52.99252494,0,8.005213674,2018,4.835606352,0.295948106,113,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/24/18,0.018991596,0.420143845,4,2.021411458,-0.888762,2.182427125,977.1371042,0.450130979,55.5393182,4.60E-06,9.620405769,2018,6.885000006,0.28813718,114,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/25/18,0.016549353,0.603115994,4,2.101362708,1.826040111,0.267854233,40.38862941,0.456825831,98.48977487,0.000842203,8.817629433,2018,7.342892663,0.333494999,115,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/26/18,0.012506377,0.363386483,4,2.381530833,0.864889263,1.20504975,498.0491351,0.463025283,82.59272265,5.74E-05,9.165007528,2018,7.918942706,0.341401444,116,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/27/18,0.021021527,0.429488921,4,2.620704375,1.505489235,0.904182729,106.5661326,0.468661385,91.36981037,0.000327389,8.069131152,2018,6.816176351,0.340710384,117,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/28/18,0.027897215,0.411022944,4,3.005892083,2.823636538,0.56482875,636.8580588,0.473666187,81.51255767,0.000151535,11.07379541,2018,8.526837047,0.339452799,118,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/29/18,0.011862706,0.499525205,4,3.070243958,1.526868538,1.516456875,178.7351378,0.477971737,87.6727393,0.000174707,5.90028677,2018,7.084723171,0.341279545,119,NA,NA,NA,0,NA,NA,NA,NA,NA,3/20/18,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,4/30/18,0.025098813,0.516934232,4,3.260485833,1.209987094,2.268580833,192.2092342,0.481510086,87.44534022,0.000191176,4.246415869,2018,4.848574018,0.339347413,120,NA,NA,NA,0,NA,1,4/30/18,0,NA,3/20/18,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/1/18,0.049050286,0.425591406,5,3.883008333,1.672338455,1.908764583,898.4887875,0.484213284,65.20149147,6.19E-06,11.42842414,2018,7.827770249,0.328149692,121,NA,NA,NA,0,NA,1,5/1/18,0,NA,3/20/18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/2/18,0.046199954,0.565896041,5,4.4845,4.147737974,0.621953438,2056.892083,0.486013381,55.19756738,3.55E-08,17.95792987,2018,12.32701184,0.312092066,122,NA,NA,NA,0,NA,NA,5/1/18,1,NA,3/20/18,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/3/18,0.022504171,0.585365332,5,4.723583333,3.897031951,1.009603958,1360.520663,0.486842426,73.81555933,0.000189285,19.75439367,2018,15.20027989,0.303721605,123,NA,NA,NA,0,NA,NA,5/1/18,2,NA,3/20/18,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/4/18,0.01346581,0.339461767,5,4.592440833,4.539484186,0.031693542,768.1791646,0.486632469,80.84813931,0.000154859,19.73184897,2018,16.17769036,0.317475837,124,NA,NA,NA,0,NA,NA,5/1/18,3,NA,3/20/18,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/5/18,0.023346876,0.293119572,5,4.205934583,2.580386604,1.625553583,1324.456292,0.48531556,57.29526951,1.43E-07,14.1976162,2018,14.13388874,0.304564105,125,NA,NA,NA,0,NA,NA,5/1/18,4,NA,3/20/18,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/6/18,0.010873429,0.403596551,5,3.997512708,3.387862861,0.775436688,272.7629911,0.482823748,92.12728474,0.000471258,12.34555572,2018,12.35185116,0.31782677,126,NA,NA,NA,0,NA,NA,5/1/18,5,NA,3/20/18,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/7/18,0.020290585,0.474331383,5,3.885180833,1.549896285,2.164457167,684.7661,0.479089084,71.32482445,2.27E-06,12.9741339,2018,11.84112391,0.322585717,127,NA,NA,NA,0,NA,NA,5/1/18,6,NA,3/20/18,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/8/18,0.023877749,0.437548284,5,3.778830833,1.971373657,1.92939375,1062.304879,0.474043617,69.45015152,9.73E-07,13.93819119,2018,12.00815147,0.30708138,128,NA,NA,NA,0,NA,NA,5/1/18,7,NA,3/20/18,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/9/18,0.027321584,0.284854789,5,3.699901667,2.510579913,1.269061354,1274.125017,0.467633825,68.04526856,2.11E-08,15.70466496,2018,13.57488197,0.294594139,129,NA,NA,NA,0,NA,NA,5/1/18,8,NA,3/20/18,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,5/10/18,0.016791848,0.363938638,5,3.517705625,2.161003279,1.384243063,655.0945354,0.459969819,75.5042996,3.70E-05,14.66094265,2018,13.64276419,0.28467311,130,corn,5/10/18,NA,1,annual,NA,5/1/18,9,NA,3/20/18,51,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,emergence,early
conventional,5/11/18,0.012807279,0.524541107,5,3.280262292,1.09220061,1.816142292,901.6439447,0.451329111,58.38313092,2.45E-07,11.70649792,2018,12.56813806,0.277357075,131,corn,5/10/18,NA,1,annual,NA,5/1/18,10,NA,3/20/18,52,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,emergence,early
conventional,5/12/18,0.007177062,0.242589273,5,3.009772917,1.997862667,1.149513771,312.26033,0.442004893,83.85577126,0.000283316,7.390517966,2018,9.299786107,0.287768828,132,corn,5/10/18,NA,1,annual,NA,5/1/18,11,NA,3/20/18,53,1,5/12/18,0,NA,NA,NA,2,NA,NA,NA,emergence,early
conventional,5/13/18,0.0208025,0.066947311,5,3.021112708,1.994292174,1.043443125,219.4650354,0.432290355,79.14586749,3.58E-07,10.24349476,2018,9.444560941,0.292275636,133,corn,5/10/18,NA,1,annual,NA,5/1/18,12,NA,3/20/18,54,NA,5/12/18,1,NA,NA,NA,3,NA,NA,NA,emergence,early
conventional,5/14/18,0.018529221,0.189638631,5,3.068438333,1.879822352,1.108852521,668.5604417,0.422478691,79.95582257,1.59E-06,14.30390813,2018,12.07483373,0.281332528,134,corn,5/10/18,NA,1,annual,NA,5/1/18,13,NA,3/20/18,55,NA,5/12/18,2,NA,NA,NA,4,NA,NA,NA,emergence,early
conventional,5/15/18,0.018073639,0.260336643,5,3.1056725,2.32642068,0.398597792,670.1631933,0.412863091,89.14001556,0.000870776,17.22587579,2018,14.54284646,0.29992999,135,corn,5/10/18,NA,1,annual,NA,5/1/18,14,NA,3/20/18,56,NA,5/12/18,3,NA,NA,NA,5,NA,NA,NA,emergence,early
conventional,5/16/18,0.012657774,NA,5,3.014927292,NA,0.861715125,NA,0.403736748,82.75179795,9.51E-06,14.10384728,2018,13.38702895,0.323549292,136,corn,5/10/18,NA,1,annual,NA,5/1/18,15,NA,3/20/18,57,NA,5/12/18,4,NA,NA,NA,6,NA,NA,NA,emergence,early
conventional,5/17/18,0.016180263,NA,5,3.099443542,NA,1.017694167,NA,0.395392853,83.37067856,1.86E-06,16.51846244,2018,14.32914028,0.309300482,137,corn,5/10/18,NA,1,annual,NA,5/1/18,16,NA,3/20/18,58,NA,5/12/18,5,NA,NA,NA,7,NA,NA,NA,emergence,early
conventional,5/18/18,0.013259346,NA,5,3.003485208,NA,1.946203104,NA,0.388124598,59.12163584,1.81E-08,13.33516544,2018,13.69656453,0.295533078,138,corn,5/10/18,NA,1,annual,NA,5/1/18,17,NA,3/20/18,59,NA,5/12/18,6,NA,NA,NA,8,NA,NA,NA,emergence,early
conventional,5/19/18,0.009097816,NA,5,2.882402917,NA,0.899885896,NA,0.382225175,83.33004035,0.00054016,9.30360899,2018,10.75166934,0.310011838,139,corn,5/10/18,NA,1,annual,NA,5/1/18,18,NA,3/20/18,60,NA,5/12/18,7,NA,NA,NA,9,NA,NA,NA,emergence,early
conventional,5/20/18,0.013961272,NA,5,3.188123958,NA,0.534744229,NA,0.377987775,89.15714723,0.000229248,16.79533714,2018,13.91655558,0.333925419,140,corn,5/10/18,NA,1,annual,NA,5/1/18,19,NA,3/20/18,61,NA,5/12/18,8,NA,NA,NA,10,NA,NA,NA,emergence,early
conventional,5/21/18,0.020569375,NA,5,3.191045833,NA,1.984038521,NA,0.375705591,66.05090797,5.33E-08,15.51300837,2018,14.39939787,0.316975569,141,corn,5/10/18,NA,1,annual,NA,5/1/18,20,NA,3/20/18,62,NA,5/12/18,9,NA,NA,NA,11,NA,NA,NA,vegetative_early,vegetative
conventional,5/22/18,0.007122844,NA,5,3.169967292,NA,0.960228333,NA,0.375671814,83.30308296,0.000155603,13.4203551,2018,12.94113955,0.309992262,142,corn,5/10/18,NA,1,annual,NA,5/1/18,21,NA,3/20/18,63,NA,5/12/18,10,NA,NA,NA,12,NA,NA,NA,vegetative_early,vegetative
conventional,5/23/18,0.017960931,NA,5,3.287982292,NA,1.271723146,NA,0.378179636,74.61037122,1.80E-05,16.81135521,2018,14.43257349,0.304848523,143,corn,5/10/18,NA,1,annual,NA,5/1/18,22,NA,3/20/18,64,NA,5/12/18,11,NA,NA,NA,13,NA,NA,NA,vegetative_early,vegetative
conventional,5/24/18,0.014214668,NA,5,3.220230417,NA,1.828423479,NA,0.383522248,62.0770069,5.36E-08,16.64939032,2018,15.17099533,0.287172607,144,corn,5/10/18,NA,1,annual,NA,5/1/18,23,NA,3/20/18,65,NA,5/12/18,12,NA,NA,NA,14,NA,NA,NA,vegetative_early,vegetative
conventional,5/25/18,0.019330582,NA,5,3.245311667,NA,1.770013767,NA,0.391967324,62.55102112,1.81E-08,19.65374893,2018,16.46451626,0.271299306,145,corn,5/10/18,NA,1,annual,NA,5/1/18,24,NA,3/20/18,66,NA,5/12/18,13,NA,NA,NA,15,NA,NA,NA,vegetative_early,vegetative
conventional,5/26/18,0.014223797,NA,5,3.229515,NA,1.845185958,NA,0.403493102,72.33114508,1.26E-05,21.30894782,2018,18.32758722,0.257852264,146,corn,5/10/18,NA,1,annual,NA,5/1/18,25,NA,3/20/18,67,NA,5/12/18,14,NA,NA,NA,16,NA,NA,NA,vegetative_early,vegetative
conventional,5/27/18,0.010739663,NA,5,2.957653958,NA,0.528723717,NA,0.41778173,89.75216254,0.000155415,13.14390796,2018,15.15857913,0.261208225,147,corn,5/10/18,NA,1,annual,NA,5/1/18,26,NA,3/20/18,68,NA,5/12/18,15,NA,NA,NA,17,NA,NA,NA,vegetative_early,vegetative
conventional,5/28/18,0.020043165,NA,5,3.051800625,NA,0.962834135,NA,0.434487619,85.73277122,2.91E-06,14.34539725,2018,13.63173312,0.263614049,148,corn,5/10/18,NA,1,annual,NA,5/1/18,27,NA,3/20/18,69,NA,5/12/18,16,NA,NA,NA,18,NA,NA,NA,vegetative_early,vegetative
conventional,5/29/18,0.022216777,NA,5,3.298706042,NA,2.006680585,NA,0.453265181,75.49624003,1.29E-05,20.3552433,2018,17.06770334,0.254147721,149,corn,5/10/18,NA,1,annual,NA,5/1/18,28,NA,3/20/18,70,NA,5/12/18,17,NA,NA,NA,19,NA,NA,NA,vegetative_early,vegetative
conventional,5/30/18,0.019397102,NA,5,3.330087083,NA,2.620915208,NA,0.473768827,68.03120725,1.28E-06,19.36987902,2018,17.80581396,0.241738457,150,corn,5/10/18,NA,1,annual,NA,5/1/18,29,NA,3/20/18,71,NA,5/12/18,18,NA,NA,NA,20,NA,NA,NA,vegetative_early,vegetative
conventional,5/31/18,0.018588387,NA,5,3.37669875,NA,1.66663099,NA,0.495652971,80.89492203,4.82E-05,18.00433089,2018,17.09152923,0.233339297,151,corn,5/10/18,NA,1,annual,NA,5/1/18,30,NA,3/20/18,72,NA,5/12/18,19,NA,NA,NA,21,NA,NA,NA,vegetative_early,vegetative
conventional,6/1/18,0.016658134,NA,6,3.583352917,NA,0.941530417,NA,0.518572022,91.57959886,0.000148991,20.12783521,2018,17.96552779,0.244985174,152,corn,5/10/18,NA,1,annual,NA,5/1/18,31,NA,3/20/18,73,NA,5/12/18,20,NA,NA,NA,22,NA,NA,NA,vegetative_early,vegetative
conventional,6/2/18,0.014495102,NA,6,3.748337708,NA,2.010716347,NA,0.542180393,77.71133864,5.94E-05,20.94259272,2018,18.87902754,0.242888474,153,corn,5/10/18,NA,1,annual,NA,5/1/18,32,NA,3/20/18,74,NA,5/12/18,21,NA,NA,NA,23,NA,NA,NA,vegetative_early,vegetative
conventional,6/3/18,0.01741725,NA,6,3.70729,NA,2.660197146,NA,0.566132495,65.83834914,4.43E-05,16.07903554,2018,17.09166163,0.234642129,154,corn,5/10/18,NA,1,annual,NA,5/1/18,33,NA,3/20/18,75,NA,5/12/18,22,NA,NA,NA,24,NA,NA,NA,vegetative_early,vegetative
conventional,6/4/18,0.013286029,NA,6,3.547598125,NA,0.777049654,NA,0.590082741,91.99193248,0.000654858,10.13508552,2018,12.62200301,0.283211273,155,corn,5/10/18,NA,1,annual,NA,5/1/18,34,NA,3/20/18,76,NA,5/12/18,23,NA,NA,NA,25,NA,NA,NA,vegetative_early,vegetative
conventional,6/5/18,0.015593156,NA,6,3.687478542,NA,1.333045542,NA,0.613685541,76.02194439,0.000114837,13.0012893,2018,12.92719525,0.284212487,156,corn,5/10/18,NA,1,annual,NA,5/1/18,35,NA,3/20/18,77,NA,5/12/18,24,NA,NA,NA,26,NA,NA,NA,vegetative_early,vegetative
conventional,6/6/18,0.018338426,NA,6,3.7147525,NA,1.654088417,NA,0.636595308,77.70062823,2.97E-05,13.31499872,2018,13.10338483,0.276844167,157,corn,5/10/18,NA,1,annual,NA,5/1/18,36,NA,3/20/18,78,NA,5/12/18,25,NA,NA,NA,27,NA,NA,NA,vegetative_early,vegetative
conventional,6/7/18,0.017387556,NA,6,3.793343542,NA,2.447416917,NA,0.658466453,81.29372876,5.22E-05,14.83187494,2018,13.9135004,0.269103418,158,corn,5/10/18,NA,1,annual,NA,5/1/18,37,NA,3/20/18,79,NA,5/12/18,26,NA,NA,NA,28,NA,NA,NA,vegetative_early,vegetative
conventional,6/8/18,0.019169929,1.156786079,6,3.843235833,1.302324972,2.8594599,1324.318524,0.678953387,78.39918508,1.96E-05,17.09059343,2018,15.41336466,0.260472546,159,corn,5/10/18,NA,1,annual,NA,5/1/18,38,NA,3/20/18,80,NA,5/12/18,27,NA,NA,NA,29,NA,NA,NA,vegetative_early,vegetative
conventional,6/9/18,0.017721502,0.607767939,6,3.735815208,0.026625667,3.280268979,1014.000817,0.697710523,66.19460875,3.56E-08,17.55112991,2018,16.05018029,0.247774314,160,corn,5/10/18,NA,1,annual,NA,5/1/18,39,NA,3/20/18,81,NA,5/12/18,28,NA,NA,NA,30,NA,NA,NA,vegetative_early,vegetative
conventional,6/10/18,0.01547273,0.469084341,6,3.578722083,0.523388348,2.815478333,656.7160583,0.714412482,61.00530636,1.08E-07,16.67712491,2018,16.03710279,0.23425892,161,corn,5/10/18,NA,1,annual,NA,5/1/18,40,NA,3/20/18,82,NA,5/12/18,29,NA,NA,NA,31,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/11/18,0.017389975,0.545251126,6,3.430372083,-1.231069889,4.386505167,1048.076929,0.728963108,62.2142042,4.79E-06,16.08009205,2018,15.70117118,0.222581523,162,corn,5/10/18,NA,1,annual,NA,5/1/18,41,NA,3/20/18,83,NA,5/12/18,30,NA,NA,NA,32,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/12/18,0.027354798,0.519214614,6,3.440690417,-0.82881034,4.184591367,1276.117667,0.74150074,62.28707922,1.07E-07,16.8265989,2018,16.06677176,0.211018793,163,corn,5/10/18,NA,1,annual,NA,5/1/18,42,NA,3/20/18,84,NA,5/12/18,31,NA,NA,NA,33,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/13/18,0.020171998,0.398063492,6,3.650122083,0.399411583,3.250702438,522.5994375,0.752185682,83.47214314,0.000119662,17.83717117,2018,16.60315213,0.204053406,164,corn,5/10/18,NA,1,annual,NA,5/1/18,43,NA,3/20/18,85,NA,5/12/18,32,NA,NA,NA,34,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/14/18,0.012576903,0.662615915,6,3.768974792,-2.127908841,5.467575521,1343.20975,0.761178237,71.66154357,6.56E-06,16.43135541,2018,16.33190689,0.211317439,165,corn,5/10/18,NA,1,annual,NA,5/1/18,44,NA,3/20/18,86,NA,5/12/18,33,NA,NA,NA,35,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/15/18,0.017390104,0.700400883,6,3.87795875,-1.604809426,5.368529563,699.4063542,0.76863871,74.13174821,2.40E-05,14.93284012,2018,15.03292371,0.206172214,166,corn,5/10/18,NA,1,annual,NA,5/1/18,45,NA,3/20/18,87,NA,5/12/18,34,NA,NA,NA,36,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/16/18,0.033100081,0.923996215,6,4.179798333,-1.332597058,4.960749188,1226.475563,0.774727405,59.47307863,1.78E-08,18.93435631,2018,16.24496231,0.197242348,167,corn,5/10/18,NA,1,annual,NA,5/1/18,46,NA,3/20/18,88,NA,5/12/18,35,NA,NA,NA,37,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/17/18,0.031199828,0.67939903,6,4.4273725,-0.133334448,4.425342083,1558.839475,0.779604626,52.85956986,3.55E-08,22.39909054,2018,18.66273556,0.184742982,168,corn,5/10/18,NA,1,annual,NA,5/1/18,47,NA,3/20/18,89,NA,5/12/18,36,NA,NA,NA,38,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/18/18,0.025443251,0.848616317,6,4.612958125,-0.158031326,4.227672083,1191.8945,0.783430677,71.4649416,0.000237324,24.20634915,2018,20.98251003,0.179097854,169,corn,5/10/18,NA,1,annual,NA,5/1/18,48,NA,3/20/18,90,NA,5/12/18,37,NA,NA,NA,39,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/19/18,0.013665697,1.157862528,6,4.58277625,-2.134489561,5.88507625,1080.8911,0.786365862,67.98735634,0.000188476,20.47372716,2018,20.1833745,0.216392181,170,corn,5/10/18,NA,1,annual,NA,5/1/18,49,NA,3/20/18,91,NA,5/12/18,38,NA,NA,NA,40,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/20/18,0.023171521,0.761904162,6,4.544315417,-1.808134564,5.542569688,960.698125,0.788570486,63.80799108,7.88E-07,18.62967628,2018,18.45099824,0.200266695,171,corn,5/10/18,NA,1,annual,NA,5/1/18,50,NA,3/20/18,92,NA,5/12/18,39,NA,NA,NA,41,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/21/18,0.024504537,1.038832906,6,4.5042175,-3.669414366,7.461383333,1120.823268,0.790204853,59.59377194,5.60E-06,19.21166509,2018,18.25493377,0.188172298,172,corn,5/10/18,NA,1,annual,NA,5/1/18,51,NA,3/20/18,93,NA,5/12/18,40,NA,NA,NA,42,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/22/18,0.030152523,0.843836003,6,4.40837375,-2.302082392,6.710462917,1199.930896,0.791429266,52.90072776,2.05E-06,18.60820955,2018,18.22243112,0.176448914,173,corn,5/10/18,NA,1,annual,NA,5/1/18,52,NA,3/20/18,94,NA,5/12/18,41,NA,NA,NA,43,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/23/18,0.004238875,0.524107823,6,4.201395208,0.095050581,4.18160125,515.4357063,0.79240403,77.65338348,0.000242758,15.06933619,2018,16.3766184,0.183257848,174,corn,5/10/18,NA,1,annual,NA,5/1/18,53,NA,3/20/18,95,NA,5/12/18,42,NA,NA,NA,44,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/24/18,0.036397974,0.924304407,6,4.52794375,-0.089877568,5.292463958,230.9979884,0.793289449,89.42329637,0.000547918,18.68678929,2018,17.17319578,0.208803548,175,corn,5/10/18,NA,1,annual,NA,5/1/18,54,NA,3/20/18,96,NA,5/12/18,43,NA,NA,NA,45,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/25/18,0.031985266,1.157452562,6,5.031132292,-4.713790333,7.322763958,1001.126653,0.794245827,65.27120051,1.46E-05,17.5021492,2018,17.41221207,0.233136214,176,corn,5/10/18,NA,1,annual,NA,5/1/18,55,NA,3/20/18,97,NA,5/12/18,44,NA,NA,NA,46,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/26/18,0.05387387,1.044571327,6,5.581424167,-2.175941154,7.095647917,1175.043322,0.795425911,52.25212169,1.43E-07,17.37334627,2018,16.82473256,0.212099121,177,corn,5/10/18,NA,1,annual,NA,5/1/18,56,NA,3/20/18,98,NA,5/12/18,45,NA,NA,NA,47,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/27/18,0.034029251,1.020056244,6,6.13996,0.119507,4.698458542,452.3692973,0.796896726,80.87792434,0.000255569,17.24906263,2018,17.01578635,0.205293794,178,corn,5/10/18,NA,1,annual,NA,5/1/18,57,1,6/27/18,0,NA,5/12/18,46,NA,NA,NA,48,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/28/18,0.046317116,1.7887913,6,6.921910417,-8.1922575,7.042972917,470.0840667,0.798637607,97.20973322,0.000867042,19.16057787,2018,17.72086105,0.277831292,179,corn,5/10/18,NA,1,annual,NA,5/1/18,58,1,6/28/18,0,NA,5/12/18,47,NA,NA,NA,49,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/29/18,0.063327222,1.96377615,6,7.923749792,-6.076012273,11.05576833,1231.369524,0.800619673,76.16199643,2.63E-07,21.86304436,2018,19.4905011,0.273362982,180,corn,5/10/18,NA,1,annual,NA,5/1/18,59,NA,6/28/18,1,NA,5/12/18,48,NA,NA,NA,50,NA,NA,NA,vegetative_rapid,vegetative
conventional,6/30/18,0.073551991,1.698269975,6,8.958889375,-1.600489,10.10020219,1171.561148,0.802814045,63.92675933,8.94E-08,24.58123535,2018,21.35607602,0.250523911,181,corn,5/10/18,NA,1,annual,NA,5/1/18,60,NA,6/28/18,2,NA,5/12/18,49,NA,NA,NA,51,NA,NA,NA,tasseling,reproductive
conventional,7/1/18,0.07500477,1.961226423,7,10.02813188,-1.529163889,11.22617842,1168.511202,0.805191842,70.62565082,1.16E-06,27.33200448,2018,23.50245978,0.231653017,182,corn,5/10/18,NA,1,annual,NA,5/1/18,61,NA,6/28/18,3,NA,5/12/18,50,NA,NA,NA,52,NA,NA,NA,tasseling,reproductive
conventional,7/2/18,0.045739802,2.343060331,7,10.58736146,-1.843091656,11.47742842,1411.125669,0.807724185,66.05787606,3.95E-07,28.14796346,2018,24.91791774,0.214850611,183,corn,5/10/18,NA,1,annual,NA,5/1/18,62,NA,6/28/18,4,NA,5/12/18,51,NA,NA,NA,53,NA,NA,NA,tasseling,reproductive
conventional,7/3/18,0.033762184,2.673630035,7,10.35555646,-7.178085,15.94214875,995.5745065,0.810382192,71.61766195,5.53E-05,26.65491765,2018,24.81909984,0.203054952,184,corn,5/10/18,NA,1,annual,NA,5/1/18,63,NA,6/28/18,5,NA,5/12/18,52,NA,NA,NA,54,NA,NA,NA,tasseling,reproductive
conventional,7/4/18,0.04570299,2.70735876,7,10.19014125,-6.807512818,15.85240271,1256.708615,0.813136984,66.04916872,6.79E-06,26.27153962,2018,24.36678554,0.194013253,185,corn,5/10/18,NA,1,annual,NA,5/1/18,64,NA,6/28/18,6,NA,5/12/18,53,NA,NA,NA,55,NA,NA,NA,tasseling,reproductive
conventional,7/5/18,0.029180824,2.428499191,7,10.01645458,-2.921090426,12.86862021,1048.78811,0.815959682,78.53677317,0.000169576,25.59176884,2018,24.21816565,0.192976141,186,corn,5/10/18,NA,1,annual,NA,5/1/18,65,NA,6/28/18,7,NA,5/12/18,54,NA,NA,NA,56,NA,NA,NA,tasseling,reproductive
conventional,7/6/18,0.031719226,2.92114685,7,9.676232292,-6.69896881,16.47692708,976.6066596,0.818821404,71.37731263,0.000335004,22.37186044,2018,22.72161136,0.226666953,187,corn,5/10/18,NA,1,annual,NA,5/1/18,66,NA,6/28/18,8,NA,5/12/18,55,NA,NA,NA,57,NA,NA,NA,tasseling,reproductive
conventional,7/7/18,0.053325447,2.538320823,7,9.327463333,-9.376833488,17.39088542,988.0407104,0.82169327,51.80503035,3.61E-08,18.52947435,2018,20.08813121,0.214540763,188,corn,5/10/18,NA,1,annual,NA,5/1/18,67,NA,6/28/18,9,NA,5/12/18,56,NA,NA,NA,58,NA,NA,NA,tasseling,reproductive
