julian_date,field_ID,management,replicate,location,X,Y,,
20329,EF01,organic,18,E,207224.8012,364768.0408,,
20329,EF01,organic,18,N,207153.8133,364647.0932,,
20329,EF01,organic,18,W,207153.8133,364647.0932,,
20329,EF01,organic,19,E,207224.8012,364768.0408,,
20329,EF01,organic,19,N,207084.4758,364768.7161,,
20329,EF01,organic,19,W,207153.8133,364647.0932,,
20329,EF02,conventional,18,E,210334.7349,370225.4997,,
20327,EF02,conventional,18,N,210265.0244,370347.0178,,
20329,EF02,conventional,18,W,210194.4284,370226.231,,
20329,EF02,conventional,19,E,210334.7349,370225.4997,,
20327,EF02,conventional,19,N,210265.0244,370347.0178,,
20329,EF02,conventional,19,W,210194.4284,370226.231,,
