MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20260623,36021,Columbia County,NY,0.00,100.00,43.13,0.00,0.00,0.00,2026-06-23,2026-06-29,1
20260616,36021,Columbia County,NY,0.00,100.00,42.74,0.00,0.00,0.00,2026-06-16,2026-06-22,1
20260609,36021,Columbia County,NY,0.00,100.00,8.87,0.00,0.00,0.00,2026-06-09,2026-06-15,1
20260602,36021,Columbia County,NY,87.79,12.21,0.00,0.00,0.00,0.00,2026-06-02,2026-06-08,1
20260526,36021,Columbia County,NY,87.01,12.99,0.00,0.00,0.00,0.00,2026-05-26,2026-06-01,1
20260519,36021,Columbia County,NY,87.01,12.99,0.00,0.00,0.00,0.00,2026-05-19,2026-05-25,1
20260512,36021,Columbia County,NY,86.89,13.11,0.00,0.00,0.00,0.00,2026-05-12,2026-05-18,1
20260505,36021,Columbia County,NY,86.89,13.11,0.00,0.00,0.00,0.00,2026-05-05,2026-05-11,1
20260428,36021,Columbia County,NY,86.89,13.11,0.00,0.00,0.00,0.00,2026-04-28,2026-05-04,1
20260421,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2026-04-21,2026-04-27,1
20260414,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2026-04-14,2026-04-20,1
20260407,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2026-04-07,2026-04-13,1
20260331,36021,Columbia County,NY,98.49,1.51,0.00,0.00,0.00,0.00,2026-03-31,2026-04-06,1
20260324,36021,Columbia County,NY,98.49,1.51,0.00,0.00,0.00,0.00,2026-03-24,2026-03-30,1
20260317,36021,Columbia County,NY,98.49,1.51,0.00,0.00,0.00,0.00,2026-03-17,2026-03-23,1
20260310,36021,Columbia County,NY,81.83,18.17,0.00,0.00,0.00,0.00,2026-03-10,2026-03-16,1
20260303,36021,Columbia County,NY,81.83,18.17,0.00,0.00,0.00,0.00,2026-03-03,2026-03-09,1
20260224,36021,Columbia County,NY,81.83,18.17,0.00,0.00,0.00,0.00,2026-02-24,2026-03-02,1
20260217,36021,Columbia County,NY,82.29,17.71,0.00,0.00,0.00,0.00,2026-02-17,2026-02-23,1
20260210,36021,Columbia County,NY,88.47,11.53,0.00,0.00,0.00,0.00,2026-02-10,2026-02-16,1
20260203,36021,Columbia County,NY,88.47,11.53,0.00,0.00,0.00,0.00,2026-02-03,2026-02-09,1
20260127,36021,Columbia County,NY,88.47,11.53,0.00,0.00,0.00,0.00,2026-01-27,2026-02-02,1
20260120,36021,Columbia County,NY,87.50,12.50,0.00,0.00,0.00,0.00,2026-01-20,2026-01-26,1
20260113,36021,Columbia County,NY,87.50,12.50,0.00,0.00,0.00,0.00,2026-01-13,2026-01-19,1
20260106,36021,Columbia County,NY,90.45,9.55,0.00,0.00,0.00,0.00,2026-01-06,2026-01-12,1
20251230,36021,Columbia County,NY,90.45,9.55,0.00,0.00,0.00,0.00,2025-12-30,2026-01-05,1
20251223,36021,Columbia County,NY,90.45,9.55,0.00,0.00,0.00,0.00,2025-12-23,2025-12-29,1
20251216,36021,Columbia County,NY,90.45,9.55,0.00,0.00,0.00,0.00,2025-12-16,2025-12-22,1
20251209,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-12-09,2025-12-15,1
20251202,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-12-02,2025-12-08,1
20251125,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-11-25,2025-12-01,1
20251118,36021,Columbia County,NY,96.83,3.17,0.00,0.00,0.00,0.00,2025-11-18,2025-11-24,1
20251111,36021,Columbia County,NY,96.83,3.17,0.00,0.00,0.00,0.00,2025-11-11,2025-11-17,1
20251104,36021,Columbia County,NY,96.78,3.22,0.00,0.00,0.00,0.00,2025-11-04,2025-11-10,1
20251028,36021,Columbia County,NY,26.40,73.60,3.67,0.00,0.00,0.00,2025-10-28,2025-11-03,1
20251021,36021,Columbia County,NY,26.62,73.38,3.66,0.00,0.00,0.00,2025-10-21,2025-10-27,1
20251014,36021,Columbia County,NY,5.43,94.57,4.38,0.00,0.00,0.00,2025-10-14,2025-10-20,1
20251007,36021,Columbia County,NY,5.48,94.52,21.60,0.00,0.00,0.00,2025-10-07,2025-10-13,1
20250930,36021,Columbia County,NY,5.48,94.52,0.19,0.00,0.00,0.00,2025-09-30,2025-10-06,1
20250923,36021,Columbia County,NY,0.00,100.00,0.19,0.00,0.00,0.00,2025-09-23,2025-09-29,1
20250916,36021,Columbia County,NY,64.28,35.72,0.00,0.00,0.00,0.00,2025-09-16,2025-09-22,1
20250909,36021,Columbia County,NY,63.73,36.27,0.00,0.00,0.00,0.00,2025-09-09,2025-09-15,1
20250902,36021,Columbia County,NY,63.24,36.76,0.00,0.00,0.00,0.00,2025-09-02,2025-09-08,1
20250826,36021,Columbia County,NY,78.50,21.50,0.00,0.00,0.00,0.00,2025-08-26,2025-09-01,1
20250819,36021,Columbia County,NY,78.50,21.50,0.00,0.00,0.00,0.00,2025-08-19,2025-08-25,1
20250812,36021,Columbia County,NY,78.50,21.50,0.00,0.00,0.00,0.00,2025-08-12,2025-08-18,1
20250805,36021,Columbia County,NY,98.57,1.43,0.00,0.00,0.00,0.00,2025-08-05,2025-08-11,1
20250729,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-07-29,2025-08-04,1
20250722,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-07-22,2025-07-28,1
20250715,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-07-15,2025-07-21,1
20250708,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-07-08,2025-07-14,1
20250701,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-07-01,2025-07-07,1
20250624,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-06-24,2025-06-30,1
20250617,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-06-17,2025-06-23,1
20250610,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-06-10,2025-06-16,1
20250603,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-06-03,2025-06-09,1
20250527,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-05-27,2025-06-02,1
20250520,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-05-20,2025-05-26,1
20250513,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-05-13,2025-05-19,1
20250506,36021,Columbia County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2025-05-06,2025-05-12,1
20250429,36021,Columbia County,NY,99.98,0.02,0.00,0.00,0.00,0.00,2025-04-29,2025-05-05,1
20250422,36021,Columbia County,NY,99.98,0.02,0.00,0.00,0.00,0.00,2025-04-22,2025-04-28,1
20250415,36021,Columbia County,NY,99.98,0.02,0.00,0.00,0.00,0.00,2025-04-15,2025-04-21,1
20250408,36021,Columbia County,NY,81.96,18.04,0.00,0.00,0.00,0.00,2025-04-08,2025-04-14,1
20250401,36021,Columbia County,NY,0.00,100.00,0.00,0.00,0.00,0.00,2025-04-01,2025-04-07,1
20250325,36021,Columbia County,NY,0.00,100.00,0.00,0.00,0.00,0.00,2025-03-25,2025-03-31,1
20250318,36021,Columbia County,NY,0.00,100.00,0.00,0.00,0.00,0.00,2025-03-18,2025-03-24,1
20250311,36021,Columbia County,NY,0.00,100.00,0.00,0.00,0.00,0.00,2025-03-11,2025-03-17,1
20250304,36021,Columbia County,NY,0.00,100.00,0.00,0.00,0.00,0.00,2025-03-04,2025-03-10,1
