file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7500,,,,RSSI_LI-7500,variances,,,,,,covariances,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--
2018-06-15T123000_smart3-00152.ghg,2018-06-15,13:00,166.5415,1,36000,36000,-0.798326E-01,0,38.8718,0,67.7134,0,-6.06157,0,1.52621,0,-9999,-9999,-9999,-9999,0.720365E-10,0.257186E-11,16.6583,398.048,403.787,0.500000E-01,0,594.739,14.2112,14.4161,0.500000E-01,0,291.715,289.198,100624.,1.20565,1013.24,0.238949E-01,0.988983E-01,0.107172E-01,1430.37,1818.27,0.888911E-02,78.6664,387.903,285.459,-2.17906,0.396627,0.512529E-01,2.21546,-0.198673E-12,0.432435E-14,2.21546,5.45689,10.8801,169.684,1.32561,-9999,0.257323,0.787236,-38.4331,-0.288814E-01,0.574063,-0.123658,0,12.7521,-1.93519,4.37740,10.9003,16.6237,23.3150,34.9301,-0.779530E-01,1.02411,40.2159,1.05447,51.7730,1.23322,-6.89420,1.23322,1.16692,1.23322,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,6,16,3,3,6,2,0,0,0,0,87,0.584147,0.886049,0.104274,0.219466,0.127215E-01,182.025,0.329203E-01,-0.689420E-02,1.16692,12.0586,398.044,14.2110,12.2358,93.2722
2018-06-15T130000_smart3-00152.ghg,2018-06-15,13:30,166.5624,1,36000,36000,-0.142400,0,100.786,0,124.537,0,-11.1647,0,2.81076,0,1.68272,-0.904731,-0.121078,-0.204195E-01,-0.116696E-10,-0.405088E-12,16.4564,395.109,400.603,0.500000E-01,0,571.252,13.7154,13.9062,0.500000E-01,0,292.710,290.598,100628.,1.20013,1012.99,0.240095E-01,0.182137,0.102940E-01,1380.53,1987.29,0.857739E-02,69.4679,606.762,284.921,-2.42657,0.312765,0.936446E-01,2.44843,0.134680E-12,-0.709123E-15,2.44843,7.10197,7.25858,172.656,2.19191,-9999,0.344462,0.975998,-35.5564,-0.312180E-01,0.809280,-0.240672,0,14.2442,-2.16162,4.88958,12.1758,18.5688,26.0430,39.0171,-0.138839,1.02565,101.463,1.05779,93.3158,1.23889,-13.6979,1.23889,2.10610,1.23889,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,9,9,3,0,7,1,0,0,0,0,87,0.874748,0.935550,0.141698,0.322189,0.128304E-01,282.013,0.834594E-01,-0.136979E-01,2.10610,12.0900,395.108,13.7155,11.6955,93.5730
2018-06-15T133000_smart3-00152.ghg,2018-06-15,14:00,166.5832,1,36000,36000,-0.133955,0,142.983,0,136.320,0,-12.2574,0,3.07994,0,1.30997,-0.220721,-0.594854E-01,-0.498684E-02,0.101892E-09,0.351854E-11,16.3319,393.659,399.084,0.500000E-01,0,563.976,13.5939,13.7812,0.500000E-01,0,293.754,291.691,100612.,1.19549,1012.94,0.241037E-01,0.199580,0.101629E-01,1368.08,2128.82,0.850099E-02,64.2647,760.741,284.784,-2.54174,-0.264031E-01,0.799550E-01,2.54314,0.424008E-12,0.623881E-14,2.54314,7.29706,358.372,180.595,1.80165,-9999,0.334738,1.61141,-22.9972,-0.482667E-01,1.04888,-0.352735,0,13.2108,-2.00479,4.53485,11.2924,17.2217,24.1536,36.1865,-0.130523,1.02629,141.804,1.05915,100.193,1.24123,-16.1784,1.24123,2.26371,1.24123,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,14,20,4,5,11,10,0,0,0,0,87,1.00551,2.05578,0.161534,0.735114,0.116774E-01,234.833,0.117100,-0.161784E-01,2.26371,12.2312,393.658,13.5940,11.5595,93.6297
2018-06-15T140000_smart3-00152.ghg,2018-06-15,14:30,166.6040,1,36000,36000,-0.139341,0,95.0887,0,120.060,0,-8.68009,0,2.71341,0,0.380704,-0.295532,0.170376E-01,-0.667915E-02,-0.227867E-10,-0.776621E-12,16.3341,394.075,399.439,0.500000E-01,0,556.704,13.4309,13.6138,0.500000E-01,0,294.195,292.010,100629.,1.19447,1012.86,0.241258E-01,0.175829,0.100318E-01,1351.91,2171.61,0.839856E-02,62.2538,819.702,284.604,-2.74896,-0.192651,0.715540E-01,2.75664,-0.263183E-12,-0.139503E-14,2.75664,8.47014,354.549,184.009,1.48739,-9999,0.341548,1.62581,-36.7379,-0.302140E-01,0.792008,-0.230120,0,12.9669,-1.96777,4.45111,11.0839,16.9036,23.7076,35.5183,-0.135574,1.02778,95.4796,1.06222,89.7024,1.24654,-11.3483,1.24654,2.02731,1.24654,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,27,22,7,16,20,10,0,0,0,0,87,1.21493,1.86050,0.176195,0.492525,0.739969E-02,306.895,0.789201E-01,-0.113483E-01,2.02731,12.2884,394.074,13.4315,11.3781,93.6798
2018-06-15T143000_smart3-00152.ghg,2018-06-15,15:00,166.6249,1,36000,36000,-0.170893,0,142.726,0,164.811,0,-13.0007,0,3.72736,0,0.852337,-0.226376E-01,-0.774266E-01,-0.511971E-03,0.295168E-11,0.100991E-12,16.2216,392.182,397.516,0.500000E-01,0,555.020,13.4184,13.6009,0.500000E-01,0,294.959,292.724,100664.,1.19197,1012.87,0.241765E-01,0.241533,0.100015E-01,1351.12,2270.37,0.839070E-02,59.5108,919.255,284.595,-2.72301,0.377228E-01,0.923981E-01,2.72484,-0.152209E-12,0.181960E-15,2.72484,7.63430,1.73084,179.206,1.94325,-9999,0.378643,1.49895,-33.3570,-0.332763E-01,0.865997,-0.312216,0,13.7621,-2.08846,4.72410,11.7637,17.9403,25.1616,37.6967,-0.166310,1.02756,142.645,1.06176,122.568,1.24574,-16.8686,1.24574,2.77199,1.24574,800000099,800000099,800000099,800000099,800001099,800011099,899999999,899999999,89999,89999,89,89,3,10,3,3,13,17,0,0,0,0,87,1.29360,1.51769,0.186604,0.734430,0.211780E-01,309.249,0.118151,-0.168686E-01,2.77199,12.2500,392.177,13.4185,11.3692,93.6873
2018-06-15T150000_smart3-00152.ghg,2018-06-15,15:30,166.6457,1,36000,36000,-0.199229,0,134.923,0,162.298,0,-13.1658,0,3.67207,0,0.514162,-0.170304,-0.452925E-01,-0.385319E-02,0.244830E-10,0.834152E-12,16.1542,391.073,396.354,0.500000E-01,0,550.384,13.3241,13.5040,0.500000E-01,0,295.404,293.155,100678.,1.19043,1012.82,0.242087E-01,0.237950,0.991793E-02,1341.81,2331.91,0.833141E-02,57.5410,990.105,284.491,-2.83265,0.746290,0.993884E-01,2.93099,0.101278E-12,0.151558E-14,2.93099,8.12424,15.1751,165.240,1.94324,-9999,0.409096,1.47745,-44.5072,-0.249398E-01,0.831329,-0.273543,0,14.3696,-2.18064,4.93262,12.2829,18.7322,26.2722,39.3606,-0.193609,1.02903,134.795,1.06474,120.592,1.25091,-16.6028,1.25091,2.72844,1.25091,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,10,1,7,1,4,3,0,0,0,0,87,1.16231,1.59705,0.195532,0.451815,0.109533E-01,335.622,0.111799,-0.166028E-01,2.72844,12.3507,391.072,13.3242,11.2639,93.7381
2018-06-15T153000_smart3-00152.ghg,2018-06-15,16:00,166.6665,1,36000,36000,-0.206687,0,120.515,0,163.544,0,-12.6865,0,3.70065,0,0.131158,-0.572128,-0.367794E-01,-0.129460E-01,0.992473E-10,0.330857E-11,16.1080,390.172,395.314,0.500000E-01,0,536.985,13.0070,13.1784,0.500000E-01,0,295.488,293.265,100660.,1.18990,1012.65,0.242223E-01,0.239802,0.967646E-02,1309.63,2347.85,0.813215E-02,55.7799,1038.22,284.125,-2.63644,1.80606,0.105616,3.19747,0.370059E-13,0.616138E-14,3.19747,7.21084,34.0490,145.587,1.89288,-9999,0.416775,1.12276,-52.6776,-0.210716E-01,0.736893,-0.239976,0,14.0652,-2.13446,4.82814,12.0228,18.3355,25.7158,38.5269,-0.200477,1.03098,120.868,1.06858,121.916,1.25761,-15.6043,1.25761,2.75870,1.25761,800000099,800000099,800000099,800000099,800001099,800001099,899999999,899999999,89999,89999,89,89,2,8,2,2,4,1,0,0,0,0,87,0.885790,1.14563,0.214098,0.287189,0.921245E-02,262.396,0.100309,-0.156043E-01,2.75870,12.5200,390.172,13.0070,10.8997,93.7407
2018-06-15T160000_smart3-00152.ghg,2018-06-15,16:30,166.6873,1,36000,36000,-0.152454,0,106.732,0,146.851,0,-11.3643,0,3.32342,0,0.185848,0.536373,-0.599155E-01,0.121388E-01,0.807884E-10,0.276523E-11,16.0358,388.703,393.945,0.500000E-01,0,548.873,13.3045,13.4839,0.500000E-01,0,295.669,293.421,100641.,1.18891,1012.82,0.242397E-01,0.215358,0.989069E-02,1339.34,2370.62,0.831912E-02,56.4974,1031.28,284.463,-2.34669,1.47444,0.964702E-01,2.77313,-0.164467E-12,0.503801E-14,2.77313,6.13473,31.4930,147.859,1.99358,-9999,0.358092,0.945506,-37.7239,-0.294243E-01,0.726801,-0.247524,0,13.7683,-2.08940,4.72622,11.7690,17.9484,25.1729,37.7136,-0.148316,1.02790,107.786,1.06246,110.326,1.24695,-14.0346,1.24695,2.49681,1.24695,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,14,15,2,2,0,0,0,0,0,0,87,0.727963,0.996338,0.166711,0.300948,0.863529E-02,278.269,0.895119E-01,-0.140346E-01,2.49681,12.5200,388.703,13.3046,11.2377,93.7345
2018-06-15T163000_smart3-00152.ghg,2018-06-15,17:00,166.7082,1,36000,36000,-0.143294,0,138.434,0,172.199,0,-10.9453,0,3.90009,0,0.947226,0.463362,-0.333648E-01,0.104945E-01,-0.910091E-10,-0.318217E-11,15.9575,387.883,393.216,0.100000,0,557.959,13.5625,13.7490,0.100000,0,296.352,294.219,100634.,1.18549,1012.98,0.243073E-01,0.252726,0.100544E-01,1365.21,2490.00,0.848125E-02,54.8277,1124.79,284.752,-1.99507,1.33719,0.952324E-01,2.40363,-0.158896E-12,-0.570323E-14,2.40363,5.90239,31.9905,146.168,2.27067,-9999,0.347668,0.851701,-26.6184,-0.417004E-01,0.803920,-0.331573,0,14.4704,-2.19593,4.96721,12.3691,18.8636,26.4564,39.6366,-0.139751,1.02535,139.643,1.05715,129.433,1.23779,-15.1161,1.23779,2.93149,1.23779,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,8,8,3,0,4,0,0,0,0,0,87,0.815502,0.749125,0.138774,0.500147,0.944830E-02,370.348,0.116284,-0.151161E-01,2.93149,12.5125,387.882,13.5627,11.5248,93.7456
