date,event,details,amount,unit,field,contains s2,site
3/20/18,fertilize,Potash,60,lbs/acre,,,conventional
5/1/18,till,IH 875 disc ripper,9,inch,,,conventional
5/1/18,till,Turbo till ,2,inch,,,conventional
5/8/18,till,10-bottom Kverneland Plow,10,inch,"10.00 """,,organic
5/10/18,plant,corn,32000,sds/acre,Dekalb 49-94,,conventional
5/12/18,herbicide,Instigate,6,oz/acre,,,conventional
5/12/18,herbicide,DuPont Cinch,48,oz/acre,,,conventional
5/15/18,till,Krause field cultivator,,,,,organic
5/17/18,graze start,30 head (avg 900lbs)/ acre/ day,27000,lbs,S1-2,yes,dairy
5/27/18,till,12 Row Rotary Hoe,,,,,organic
6/7/18,graze start,30 head (avg 940lbs)/ acre/ day,28200,lbs,S1-2,yes,dairy
6/10/18,mow,6 ACRES,,,S3,no,dairy
6/11/18,bale,28 LARGE BALES (APPROX. 1600LBS EACH),,,S3,no,dairy
6/14/18,mow,16 ACRES,,,S3-4,no,dairy
6/14/18,till,12 Row Crop Cultivator,,,,,organic
6/18/18,bale,58 LARGE ROUND BALES (APPROX 700LBS EACH),40600,lbs,S3-4,no,dairy
6/18/18,bale,650 SMALL SQURE BALES (AVG 45 LBS EACH),650845,lbs,S3-4,no,dairy
6/27/18,graze end,30 head (avg 980lbs)/ acre/ day,29400,lbs,S1-2,yes,dairy
6/27/18,fertilize,UAN,180,lbs/acre,,,conventional
6/28/18,fertilize,Phosphorus,20,lbs/acre,,,conventional
8/21/18,spray,APLLIED HORN SILICA PREP 501 AT 5 GAL/ACRE,,,S1-4,no,dairy
8/24/18,mow,23 ACRES,,,S3-4,no,dairy
8/28/18,bale,1100 SMALL SQUARE BALES (AVG 55 LBS),60500,lbs,S3-4,no,dairy
10/4/18,harvest,Corn,194,bu/acre,,,conventional
10/24/18,graze start,26 head (avg700lbs)/0.75 acre/ day,18200,lbs,S1,no,dairy
4/4/19,fertilize,Lime,2,tons/acre,,,conventional
5/1/19,graze start,40 beef (@600 lbs),24000,lbs,"S2,S3",yes,dairy
5/8/19,till,Krause field cultivator,,,,,organic
5/9/19,till,12 Row Rotary Hoe,1,inch,"1.00 """,,organic
5/14/19,graze end,40 beef (@600 lbs),24000,lbs,,yes,dairy
5/15/19,graze start,40 beef (@600 lbs),24000,lbs,S4,no,dairy
5/19/19,graze end,40 beef (@600 lbs),24000,lbs,,no,dairy
5/20/19,graze start,40 beef (@600 lbs),24000,lbs,"S2,S3",yes,dairy
5/31/19,mow,110 HP tractor,110,horsepower,S1,no,dairy
6/1/19,bale,110 HP tractor,110,horsepower,S1,no,dairy
6/3/19,mow,110 HP tractor,110,horsepower,S1,no,dairy
6/4/19,graze end,40 beef (@600 lbs),24000,lbs,,yes,dairy
6/4/19,bale,110 HP tractor,110,horsepower,S1,no,dairy
6/5/19,graze start,40 beef (@600 lbs),24000,lbs,S4,no,dairy
6/6/19,mow,110 HP tractor,110,horsepower,S1,no,dairy
6/7/19,bale,110 HP tractor,110,horsepower,S1,no,dairy
6/8/19,graze start,40 beef (@600 lbs),24000,lbs,S4,no,dairy
6/9/19,graze end,40 beef (@600 lbs),24000,lbs,,no,dairy
6/10/19,graze start,40 beef (@600 lbs),24000,lbs,"S2,S3",yes,dairy
6/11/19,mow,110 HP tractor,110,horsepower,S2 2nd Half of Field,yes,dairy
6/12/19,bale,110 HP tractor,110,horsepower,S2 2nd Half of Field,yes,dairy
6/19/19,graze end,40 beef (@600 lbs),24000,lbs,,no,dairy
6/23/19,graze end,40 beef (@600 lbs),24000,lbs,,yes,dairy
6/24/19,graze start,40 beef (@600 lbs),24000,lbs,S4,no,dairy
6/30/19,graze end,40 beef (@600 lbs),24000,lbs,,no,dairy
7/1/19,graze start,40 beef (@600 lbs),24000,lbs,"S2,3",yes,dairy
7/15/19,graze end,40 beef (@600 lbs),24000,lbs,,yes,dairy
8/20/19,graze start,30 Dairy + calves,27000,lbs,S1,no,dairy
8/30/19,graze end,30 Dairy + calves,27000,lbs,,no,dairy
8/31/19,graze start,30 Dairy + calves,27000,lbs,S2,yes,dairy
9/6/19,compost,89 HP tractor,89,horsepower,"S3, S4",no,dairy
9/9/19,graze end,30 Dairy + calves,27000,lbs,,yes,dairy
9/9/19,compost,89 HP tractor,89,horsepower,"S1, S3",no,dairy
9/18/19,mow,110 HP tractor,110,horsepower,S3,no,dairy
9/19/19,tedded,89 HP tractor,89,horsepower,S3,no,dairy
9/20/19,bale,89 & 110 HP tractor,89,horsepower,S3,no,dairy
10/18/19,graze start,40 beef (@600 lbs),24000,lbs,S2,yes,dairy
10/25/19,Spraying BD 500,89 HP tractor,89,horsepower,"S1,S3, S4",no,dairy
11/3/19,Spraying Whey,89 HP Tractor,89,horsepower,S4,no,dairy
11/5/19,graze end,40 beef (@600 lbs),24000,lbs,,yes,dairy
3/22/20,frost seeded,24 HP Mule,24,horsepower,S1-4,yes,dairy
3/23/20,frost seeded,24 HP Mule,24,horsepower,S1-4,yes,dairy
3/27/20,till,Landoll,,,,,organic
3/29/20,till,brillion folding pulvi mulcher,2,inch,,,organic
4/8/20,compost,89 HP tractor,89,horsepower,S1-4,yes,dairy
4/9/20,compost,89 HP tractor,89,horsepower,S1-4,yes,dairy
5/20/20,mow,89 HP tractor,89,horsepower,S2,yes,dairy
5/21/20,bale,110 HP tractor,110,horsepower,S2,yes,dairy
5/21/20,mow,89 HP tractor,89,horsepower,S4,no,dairy
5/22/20,bale,89 & 110 HP tractor,199,horsepower,S4,no,dairy
5/24/20,mow,89 HP tractor,89,horsepower,S1 & Parking,no,dairy
5/25/20,bale,89 & 110 HP tractor,199,horsepower,S1 & Parking,no,dairy
5/26/20,marked bales,24 HP Mule,24,horsepower,"S1,S2,S4",yes,dairy
5/26/20,mow,89 HP tractor,89,horsepower,S3,no,dairy
5/27/20,bale,110 HP tractor,110,horsepower,S3,no,dairy
5/29/20,bales removed,89 HP tractor,89,horsepower,S1-4,yes,dairy
5/30/20,bales removed,89 HP tractor,89,horsepower,S1-4,yes,dairy
5/31/20,bales removed,89 HP tractor,89,horsepower,S1-4,yes,dairy
7/14/20,mow,89 HP tractor,89,horsepower,"S1,S2,S4",yes,dairy
7/16/20,bale,89 & 100 HP tractor,189,horsepower,"S1,S2,S4",yes,dairy
7/25/20,mow,89 HP tractor,89,horsepower,S3,no,dairy
