datetime,airtemp_F,rh,par_umolm2sec,soiltemp_F
8/8/19 9:29,70.029,76.9,1.2,70.759
8/8/19 9:29,70.029,76.9,1.2,70.803
8/8/19 9:29,70.029,76.9,1.2,70.803
8/8/19 9:29,70.029,76.9,1.2,70.803
8/8/19 9:29,70.029,76.9,1.2,70.846
8/8/19 9:29,70.029,76.9,1.2,70.846
8/8/19 9:29,70.029,76.9,1.2,70.846
8/8/19 9:29,70.029,76.8,1.2,70.846
8/8/19 9:29,70.029,76.8,1.2,70.846
8/8/19 9:29,70.029,76.9,1.2,70.846
8/8/19 9:29,70.029,76.8,1.2,70.846
8/8/19 9:29,70.029,76.8,1.2,70.846
8/8/19 9:29,70.029,76.8,1.2,70.887
8/8/19 9:29,70.072,76.8,1.2,70.887
8/8/19 9:29,70.072,76.8,1.2,70.887
8/8/19 9:29,70.072,76.9,1.2,70.887
8/8/19 9:29,70.072,76.9,1.2,70.887
8/8/19 9:29,70.072,76.8,1.2,70.887
8/8/19 9:29,70.072,76.9,1.2,70.887
8/8/19 9:29,70.072,76.9,1.2,70.887
8/8/19 9:29,70.072,76.8,1.2,70.93
8/8/19 9:29,70.072,76.9,1.2,70.93
8/8/19 9:30,70.072,76.9,1.2,70.93
8/8/19 9:30,70.072,76.9,1.2,70.93
8/8/19 9:30,70.072,76.7,1.2,70.93
8/8/19 9:30,70.072,76.9,1.2,70.93
8/8/19 9:30,70.072,76.9,1.2,70.974
8/8/19 9:30,70.115,76.9,1.2,70.974
8/8/19 9:30,70.115,76.8,1.2,70.974
8/8/19 9:30,70.115,76.8,1.2,70.974
8/8/19 9:30,70.115,76.8,1.2,70.974
8/8/19 9:30,70.115,76.9,1.2,70.974
8/8/19 9:30,70.115,76.9,1.2,70.974
8/8/19 9:30,70.115,76.8,1.2,71.017
8/8/19 9:30,70.115,76.9,1.2,71.017
8/8/19 9:30,70.115,76.9,1.2,71.017
8/8/19 9:30,70.115,76.9,1.2,71.017
8/8/19 9:30,70.115,76.9,1.2,71.017
8/8/19 9:30,70.115,76.9,1.2,71.06
8/8/19 9:30,70.158,76.9,1.2,71.06
8/8/19 9:30,70.115,76.9,1.2,71.06
8/8/19 9:30,70.158,76.9,1.2,71.06
8/8/19 9:30,70.158,76.9,1.2,71.06
8/8/19 9:30,70.158,76.9,1.2,71.103
8/8/19 9:30,70.158,76.9,1.2,71.103
8/8/19 9:30,70.158,76.9,1.2,71.103
8/8/19 9:30,70.158,76.9,1.2,71.103
8/8/19 9:30,70.158,76.9,1.2,71.146
8/8/19 9:30,70.158,76.9,1.2,71.146
8/8/19 9:30,70.201,76.9,1.2,71.146
8/8/19 9:30,70.201,76.9,3.7,71.146
8/8/19 9:30,70.201,77,3.7,71.146
8/8/19 9:30,70.201,77,3.7,71.146
8/8/19 9:30,70.201,77,6.2,71.146
8/8/19 9:30,70.201,77,3.7,71.19
8/8/19 9:30,70.201,77,3.7,71.19
8/8/19 9:30,70.201,77,1.2,71.19
8/8/19 9:30,70.243,77,1.2,71.19
8/8/19 9:30,70.243,77.1,1.2,71.231
8/8/19 9:30,70.243,77.2,1.2,71.231
8/8/19 9:30,70.243,77.2,1.2,71.231
8/8/19 9:30,70.243,77.3,1.2,71.231
8/8/19 9:30,70.243,77.3,1.2,71.274
8/8/19 9:30,70.286,77.4,11.2,71.274
8/8/19 9:30,70.286,77.4,28.7,71.317
8/8/19 9:30,70.286,77.5,43.7,71.317
8/8/19 9:30,70.286,77.7,88.7,71.361
8/8/19 9:30,70.286,77.8,86.2,71.404
8/8/19 9:30,70.329,78,193.7,71.447
8/8/19 9:30,70.329,78.2,138.7,71.49
8/8/19 9:30,70.372,78.2,123.7,71.533
8/8/19 9:30,70.372,78.4,501.2,71.577
8/8/19 9:30,70.372,78.5,296.2,71.62
8/8/19 9:30,70.416,78.7,433.7,71.661
8/8/19 9:30,70.459,78.9,81.2,71.748
8/8/19 9:30,70.459,78.9,3.7,71.791
8/8/19 9:30,70.502,79.1,31.2,71.834
8/8/19 9:30,70.543,79.2,556.2,71.92
8/8/19 9:30,70.543,79.2,36.2,71.92
8/8/19 9:30,70.587,79.3,33.7,72.007
8/8/19 9:30,70.63,79.4,41.2,72.093
8/8/19 9:30,70.63,79.5,41.2,72.136
8/8/19 9:31,70.673,79.5,41.2,72.221
8/8/19 9:31,70.716,79.5,41.2,72.264
8/8/19 9:31,70.759,79.6,41.2,72.307
8/8/19 9:31,70.759,79.6,41.2,72.351
8/8/19 9:31,70.803,79.6,41.2,72.351
8/8/19 9:31,70.803,79.6,41.2,72.394
8/8/19 9:31,70.846,79.6,38.7,72.437
8/8/19 9:31,70.887,79.5,26.2,72.437
8/8/19 9:31,70.887,79.5,16.2,72.48
8/8/19 9:31,70.93,79.6,16.2,72.523
8/8/19 9:31,70.93,79.5,16.2,72.567
8/8/19 9:31,70.974,79.6,13.7,72.567
8/8/19 9:31,70.974,79.6,13.7,72.61
8/8/19 9:31,71.017,79.6,13.7,72.61
8/8/19 9:31,71.06,79.6,11.2,72.653
8/8/19 9:31,71.06,79.6,8.7,72.653
8/8/19 9:31,71.06,79.6,8.7,72.696
8/8/19 9:31,71.103,79.6,8.7,72.696
8/8/19 9:31,71.103,79.6,8.7,72.739
8/8/19 9:31,71.146,79.6,11.2,72.739
8/8/19 9:31,71.146,79.6,26.2,72.783
8/8/19 9:31,71.19,79.6,41.2,72.783
8/8/19 9:31,71.19,79.6,41.2,72.783
8/8/19 9:31,71.19,79.5,41.2,72.826
8/8/19 9:31,71.231,79.5,41.2,72.826
8/8/19 9:31,71.231,79.6,41.2,72.869
8/8/19 9:31,71.274,79.5,41.2,72.869
8/8/19 9:31,71.274,79.6,41.2,72.912
8/8/19 9:31,71.274,79.5,41.2,72.912
8/8/19 9:31,71.274,79.5,41.2,72.912
8/8/19 9:31,71.317,79.5,41.2,72.955
8/8/19 9:31,71.317,79.5,41.2,72.955
8/8/19 9:31,71.317,79.6,41.2,72.997
8/8/19 9:31,71.361,79.6,41.2,72.997
8/8/19 9:31,71.361,79.6,41.2,72.997
8/8/19 9:31,71.361,79.6,41.2,72.997
8/8/19 9:31,71.361,79.6,41.2,73.04
8/8/19 9:31,71.361,79.6,41.2,73.04
8/8/19 9:31,71.404,79.6,41.2,73.083
8/8/19 9:31,71.404,79.6,41.2,73.083
8/8/19 9:31,71.404,79.6,41.2,73.083
8/8/19 9:31,71.447,79.6,41.2,73.083
8/8/19 9:31,71.447,79.6,41.2,73.126
8/8/19 9:31,71.447,79.5,41.2,73.126
8/8/19 9:31,71.447,79.6,41.2,73.126
8/8/19 9:31,71.447,79.6,41.2,73.126
8/8/19 9:31,71.49,79.5,43.7,73.17
8/8/19 9:31,71.49,79.5,41.2,73.17
8/8/19 9:31,71.49,79.5,43.7,73.213
8/8/19 9:31,71.49,79.5,43.7,73.213
8/8/19 9:31,71.49,79.5,43.7,73.213
8/8/19 9:31,71.533,79.5,43.7,73.213
8/8/19 9:31,71.533,79.5,43.7,73.256
8/8/19 9:31,71.533,79.5,41.2,73.256
8/8/19 9:31,71.533,79.5,23.7,73.256
8/8/19 9:31,71.533,79.5,23.7,73.256
8/8/19 9:31,71.577,79.5,23.7,73.299
8/8/19 9:31,71.577,79.5,23.7,73.299
8/8/19 9:31,71.577,79.5,21.2,73.299
8/8/19 9:31,71.577,79.5,18.7,73.342
8/8/19 9:32,71.62,79.5,11.2,73.342
8/8/19 9:32,71.62,79.5,11.2,73.342
8/8/19 9:32,71.62,79.5,13.7,73.342
8/8/19 9:32,71.62,79.5,16.2,73.386
8/8/19 9:32,71.661,79.5,16.2,73.386
8/8/19 9:32,71.661,79.5,16.2,73.386
8/8/19 9:32,71.661,79.5,16.2,73.386
