term,term_raw,Estimate,SE,t,p,sig
Intercept,(Intercept),2.862,1.328,2.156,0.031,*
Organic,managementorganic,6.795,8.036,0.846,0.398,
Dormant,crop_stage_simpledormant,0.046,0.192,0.237,0.812,
Early growth,crop_stage_simpleearly,0.031,0.155,0.197,0.844,
Fallow,crop_stage_simplefallow,-0.011,0.159,-0.069,0.945,
Grain fill,crop_stage_simplegrain_fill,0.005,0.16,0.034,0.973,
Reproductive,crop_stage_simplereproductive,0.094,0.205,0.458,0.647,
Vegetative,crop_stage_simplevegetative,-0.075,0.162,-0.461,0.645,
Organic × Dormant,managementorganic:crop_stage_simpledormant,0.019,0.337,0.058,0.954,
Organic × Early growth,managementorganic:crop_stage_simpleearly,-0.189,0.275,-0.687,0.492,
Organic × Fallow,managementorganic:crop_stage_simplefallow,-0.096,0.254,-0.379,0.704,
Organic × Grain fill,managementorganic:crop_stage_simplegrain_fill,0.158,0.272,0.583,0.56,
Organic × Reproductive,managementorganic:crop_stage_simplereproductive,0.172,0.358,0.481,0.63,
Organic × Vegetative,managementorganic:crop_stage_simplevegetative,-0.109,0.342,-0.317,0.751,
