date,ndvi,soil_t_C,stage
10/27/18,0.258605767,4.441131846,germination/emergence
10/28/18,0.257958954,5.390091515,germination/emergence
10/29/18,0.257630127,6.192580398,germination/emergence
10/30/18,0.257527826,5.416652457,germination/emergence
10/31/18,0.257560588,5.380241172,germination/emergence
11/1/18,0.257640481,8.981816546,germination/emergence
11/2/18,0.257719586,12.07173643,germination/emergence
11/3/18,0.257790921,10.1334293,germination/emergence
11/4/18,0.257851338,7.135097679,germination/emergence
11/5/18,0.25789769,5.885327911,germination/emergence
11/6/18,0.257926827,7.660560624,fall tillering
11/7/18,0.257935603,9.055655734,fall tillering
11/8/18,0.25792087,7.263458983,fall tillering
11/9/18,0.257879479,4.712553199,fall tillering
11/10/18,0.257808283,4.685355043,fall tillering
11/11/18,0.257704134,2.754670874,fall tillering
11/12/18,0.257563884,2.080144262,fall tillering
11/13/18,0.257384385,3.119209067,fall tillering
11/14/18,0.25716249,1.485210514,fall tillering
11/15/18,0.25689505,0.270974731,fall tillering
11/16/18,0.256578918,0.285759385,fall tillering
11/17/18,0.256211243,0.811526553,fall tillering
11/18/18,0.255792548,1.377751923,fall tillering
11/19/18,0.255326808,1.986815071,fall tillering
11/20/18,0.254818318,2.560859537,fall tillering
11/21/18,0.254271376,2.791598256,fall tillering
11/22/18,0.253690279,2.23544631,fall tillering
11/23/18,0.253079325,1.546187178,fall tillering
11/24/18,0.25244281,1.713746723,fall tillering
11/25/18,0.251785031,2.568161186,fall tillering
11/26/18,0.251110286,2.572966909,fall tillering
11/27/18,0.250422872,2.726200835,fall tillering
11/28/18,0.249727085,2.914763625,fall tillering
11/29/18,0.249027223,3.082955217,fall tillering
11/30/18,0.248327582,2.933237092,fall tillering
12/1/18,0.247632461,2.761138137,fall tillering
12/2/18,0.246946155,3.339008268,fall tillering
12/3/18,0.246273137,4.220256662,fall tillering
12/4/18,0.245619857,2.491801675,fall tillering
12/5/18,0.24499479,1.106948312,fall tillering
12/6/18,0.2444066,0.503587262,dormant
12/7/18,0.243863953,0.490685558,dormant
12/8/18,0.243375513,0.008415159,dormant
12/9/18,0.242949944,-0.245616897,dormant
12/10/18,0.242595911,-0.285397593,dormant
12/11/18,0.242322079,-0.48004125,dormant
12/12/18,0.242137113,-0.526443942,dormant
12/13/18,0.242049676,-0.707921092,dormant
12/14/18,0.242068435,-0.368455156,dormant
12/15/18,0.242202052,0.501652733,dormant
12/16/18,0.242459194,0.281113879,dormant
12/17/18,0.242848524,0.449679152,dormant
12/18/18,0.243378707,-0.004238907,dormant
12/19/18,0.244054914,-0.443885787,dormant
12/20/18,0.244842682,-0.29467454,dormant
12/21/18,0.245667005,2.235358334,dormant
12/22/18,0.246449078,2.55317324,dormant
12/23/18,0.247110097,0.66582125,dormant
12/24/18,0.247571258,0.226745224,dormant
12/25/18,0.247753755,0.081242339,dormant
12/26/18,0.247578786,-0.299837097,dormant
12/27/18,0.246967545,-0.37037077,dormant
12/28/18,0.245841229,0.794265445,dormant
12/29/18,0.244121032,2.101884858,dormant
12/30/18,0.24172815,0.359869496,dormant
12/31/18,0.23858378,0.024831549,dormant
1/1/19,0.23461486,1.336047824,dormant
1/2/19,0.229813481,0.220621999,dormant
1/3/19,0.224238381,0.095561282,dormant
1/4/19,0.217954541,0.043427801,dormant
1/5/19,0.211026943,0.31731178,dormant
1/6/19,0.203520569,0.376252906,dormant
1/7/19,0.195500399,-0.585416142,dormant
1/8/19,0.187031416,-0.561077817,dormant
1/9/19,0.1781786,-0.083524052,dormant
1/10/19,0.169006934,-0.36929423,dormant
1/11/19,0.159581399,-1.660943413,dormant
