date,ndvi,soilt_avg,stage
10/15/19,0.514089666,11.15559317,germination/emergence
10/16/19,0.50776543,10.1300959,germination/emergence
10/17/19,0.500659271,8.669122871,germination/emergence
10/18/19,0.492895898,8.482515828,germination/emergence
10/19/19,0.484609225,8.32426494,germination/emergence
10/20/19,0.475933164,8.10200057,germination/emergence
10/21/19,0.467001629,9.452961381,germination/emergence
10/22/19,0.457948533,10.16118059,germination/emergence
10/23/19,0.448907789,11.27135032,germination/emergence
10/24/19,0.44001331,10.31881088,germination/emergence
10/25/19,0.43139901,10.33526653,fall tillering
10/26/19,0.423198802,9.777676042,fall tillering
10/27/19,0.415546598,8.970589574,fall tillering
10/28/19,0.408576313,10.22194514,fall tillering
10/29/19,0.402421859,10.60808605,fall tillering
10/30/19,0.397217149,12.06827165,fall tillering
10/31/19,0.393096096,14.05477064,fall tillering
11/1/19,0.390177371,11.20240523,fall tillering
11/2/19,0.388406743,7.250222937,fall tillering
11/3/19,0.387553107,6.030300792,fall tillering
11/4/19,0.387368792,5.748610195,fall tillering
11/5/19,0.387606124,7.851831849,fall tillering
11/6/19,0.388017429,6.378695981,fall tillering
11/7/19,0.388355036,4.455891864,fall tillering
11/8/19,0.388371271,2.282184458,fall tillering
11/9/19,0.387818462,1.031756973,fall tillering
11/10/19,0.386448935,1.473265028,fall tillering
11/11/19,0.384015017,3.586994505,fall tillering
11/12/19,0.380269036,2.932487106,fall tillering
11/13/19,0.374963319,0.055509106,fall tillering
11/14/19,0.367850192,-0.595214748,fall tillering
11/15/19,0.358681984,-0.118225161,fall tillering
11/16/19,0.34721102,0.058037615,fall tillering
11/17/19,0.333212232,-0.366281096,fall tillering
11/18/19,0.316716932,-0.080344025,fall tillering
11/19/19,0.298018707,0.672829803,fall tillering
11/20/19,0.277435713,1.108398056,fall tillering
11/21/19,0.255286103,1.516459084,fall tillering
11/22/19,0.231888035,2.615562852,fall tillering
11/23/19,0.207559663,1.468355592,fall tillering
11/24/19,0.182619143,1.545257187,fall tillering
11/25/19,0.15738463,2.536627865,fall tillering
11/26/19,0.13217428,3.476748641,dormant
11/27/19,0.107306248,3.992744462,dormant
11/28/19,0.08309869,3.670985794,dormant
11/29/19,0.059869761,1.332022603,dormant
11/30/19,0.037937617,0.439645306,dormant
12/1/19,0.017620412,-0.188924535,dormant
12/2/19,-0.000763697,-0.114056015,dormant
12/3/19,-0.016910986,0.092504358,dormant
12/4/19,-0.030681399,0.298363543,dormant
12/5/19,-0.042102318,0.551494058,dormant
12/6/19,-0.051216806,0.787968175,dormant
12/7/19,-0.058067926,0.989929851,dormant
12/8/19,-0.062698744,0.924847778,dormant
12/9/19,-0.065152323,1.229407803,dormant
12/10/19,-0.065471727,1.600167211,dormant
12/11/19,-0.06370002,0.80194602,dormant
12/12/19,-0.059880267,0.321630732,dormant
12/13/19,-0.054055532,0.238262033,dormant
12/14/19,-0.046268878,2.040790971,dormant
12/15/19,-0.036563369,1.998147583,dormant
12/16/19,-0.024982071,0.344368712,dormant
12/17/19,-0.011568046,-0.147613668,dormant
12/18/19,0.003635641,-0.146487617,dormant
12/19/19,0.020574962,-0.336124563,dormant
